consensus_rank,brnpdb_id,common_name,community,mlp_score,lp_score,consensus_score,mlp_rank,lp_rank
80,8651,"Stigmast-5-en-3-ol, (3β,24S)-",41207,0.039829906,0.0,0.12150510432823938,49,50
81,7333,"Stigmast-5-en-3-ol, (3β)-",41207,0.039829906,0.0,0.12150510432823938,48,129
82,7884,"Stigmast-5-en-3-ol, (3β,24ξ)-",41207,0.039829906,0.0,0.12150510432823938,47,63
83,7233,Stigmast-5-en-3-ol,41207,0.039829906,0.0,0.12150510432823938,46,135
84,5696,"Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-",24793,0.013378347,0.15115434,0.12053879077142278,118,41
85,9032,"2(5H)-Furanone, 5-(2,4,6-octatriyn-1-yl)-, (5R)-",18465,0.038309596,0.0,0.11667388274336066,50,69
86,1747,Myrcene,22629,0.037722044,0.0,0.11480676754669769,51,130
87,5783,"1H-Cyclopenta[1,3]cyclopropa[1,2]benzene, 3a,3b,4,5,6,7-hexahydro-3,7-dimethyl-4-(1-methylethyl)-, (3aS,3bR,4S,7R,7aR)-",33028,0.024225656,0.06735768,0.10894533552264435,97,44
88,8780,"2(3H)-Furanone, dihydro-4-hydroxy-5-(8-hydroxy-2,4,6-octatriyn-1-yl)-, (4S,5S)-",6846,0.035856746,0.0,0.10887924752786526,53,68
89,9218,"Cyclobuta[1,2:3,4]dicyclopentene, decahydro-3a-methyl-6-methylene-1-(1-methylethyl)-, (1S,3aS,3bR,6aS,6bR)-",31868,0.033446975,0.004713687,0.10381267091137866,65,47
90,7477,"2(3H)-Furanone, dihydro-4-hydroxy-5-(2,4,6-octatriyn-1-yl)-, (4S,5R)-",18465,0.03382494,0.0,0.10242260052594715,61,124
91,7499,"2(3H)-Furanone, dihydro-4-hydroxy-5-(2,4,6-octatriyn-1-yl)-, (4R,5S)-rel-",18465,0.03382494,0.0,0.10242260052594715,62,122
92,9601,"2(3H)-Furanone, 5-(1,8-dihydroxy-2,4,6-octatriyn-1-yl)dihydro-, (5S)-",18465,0.03347215,0.0,0.10130150899663445,64,78
93,3631,Tetradecanal,4454,0.032951627,0.0,0.09964739769497505,66,119
94,1737,Sabinene,9065,0.032386974,0.0,0.09785305064630304,68,67
95,8658,"Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-, (1S,4E,9R)-",24793,0.013378347,0.104897186,0.09511075273155195,115,43
96,5936,"2(3H)-Furanone, dihydro-5-(8-hydroxy-2,4,6-octatriyn-1-yl)-, (5S)-",18465,0.0313384,0.0,0.09452090566130483,70,107
97,5919,"4H-1-Benzopyran-4-one, 2,3-dihydro-3,5,7-trihydroxy-2-(4-methoxyphenyl)-, (2R,3R)-",18958,0.030455053,0.0,0.09171381691405073,71,108
98,6636,"4H-Benzo[de][1,6]naphthyridine, 8,9-dimethoxy-4-methyl-",32939,0.027945861,0.0,0.08374013881484396,77,123
99,6604,"Bicyclo[3.3.1]non-2-ene-1,2-dicarboxaldehyde, 9-(acetyloxy)-8-[(1R)-1,5-dimethyl-4-hexen-1-yl]-5-methyl-, (1R,5R,8S,9R)-",39001,0.0276616,0.0,0.08283681786126265,78,96
100,6695,"Bicyclo[3.3.1]non-2-ene-1,2-dicarboxaldehyde, 8-[(1R)-1,5-dimethyl-4-hexen-1-yl]-9-hydroxy-5-methyl-, (1R,5R,8S,9R)-",9416,0.026877012,0.0,0.08034356419534133,80,144
101,1389,Linalyl acetate,20197,0.02615548,0.0,0.07805068907606913,81,65
102,7099,"Naphthalene, 1,2,3,5,6,8a-hexahydro-4,7-dimethyl-1-(1-methylethyl)-, (1S,8aS)-",35267,0.025485089,0.0,0.07592032916953137,86,139
103,8558,"Naphthalene, 1,2,3,5,6,8a-hexahydro-4,7-dimethyl-1-(1-methylethyl)-, (1S,8aR)-",35267,0.025485089,0.0,0.07592032916953137,87,56
104,7805,"Tricyclo[4.4.0.02,7]dec-3-ene, 1,3-dimethyl-8-(1-methylethyl)-, (1R,2S,6S,7S,8S)-",33028,0.025275467,0.0,0.07525419507117942,88,58
105,9377,"Tricyclo[4.4.0.02,7]dec-3-ene, 1,3-dimethyl-8-(1-methylethyl)-, (1S,2R,6R,7R,8S)-",33028,0.025275467,0.0,0.07525419507117942,89,86
106,3278,nerolidol,507,0.02487869,0.0,0.07399332221841687,90,113
107,7314,"1H-Cycloprop[e]azulen-7-ol, decahydro-1,1,7-trimethyl-4-methylene-, (1aR,4aR,7S,7aR,7bR)-",33410,0.024299879,0.0,0.0721539840592485,95,131
108,8640,"1H-Cycloprop[e]azulen-7-ol, decahydro-1,1,7-trimethyl-4-methylene-, (1aS,4aS,7R,7aS,7bS)-",33410,0.024299879,0.0,0.0721539840592485,96,48
109,1746,β-Pinene,13403,0.023846487,0.0,0.07071320078688212,99,127
110,3151,farnesol,28297,0.023439426,0.0,0.06941964757104963,101,112
111,1741,Terpinen-4-ol,32939,0.021776259,0.0,0.06413445684701438,102,66
112,8570,"6H-Purin-6-one, 2-amino-1,9-dihydro-9-[(2-hydroxyethoxy)methyl]-",12862,0.020388993,0.0,0.05972602077597073,103,51
113,1380,Linalool,29867,0.018180171,0.0,0.052706854603574944,104,55
114,2027,Camphene,9691,0.01772005,0.0,0.05124468800146355,105,104
115,7698,"1,6-Cyclodecadiene, 1-methyl-5-methylene-8-(1-methylethyl)-, (1E,6E,8S)-",38009,0.017377732,0.0,0.050156874259205377,106,49
116,1902,a-terpinene,32685,0.017336532,0.0,0.050025949428547815,107,140
117,1755,α-Pinene,29867,0.01697684,0.0,0.04888292481231283,108,136
118,7367,"2-Naphthalenemethanol, 1,2,3,4,4a,5,6,7-octahydro-α,α,4a,8-tetramethyl-, (2R,4aS)-",17189,0.015607923,0.0,0.04453279795771907,110,128
119,6567,"2-Naphthalenemethanol, 1,2,3,4,4a,5,6,7-octahydro-α,α,4a,8-tetramethyl-, (2R,4aR)-",17189,0.015607923,0.0,0.04453279795771907,109,98
120,10068,"α-L-Mannopyranose, 6-deoxy-",41129,0.013929043,0.0,0.03919767466416631,111,76
121,8606,"α-D-Galactopyranose, 6-deoxy-",41129,0.013929043,0.0,0.03919767466416631,112,54
122,10174,"4,6-Cyclopentacycloundecenediol, 1,2,3,3a,4,5,6,9,10,12a-decahydro-3-(1-hydroxy-1-methylethyl)-6,10,12a-trimethyl-, (3R,3aS,4S,6S,7E,10R,11E,12aR)-rel-(-)-",19165,0.0139039215,0.0,0.03911784388423028,113,77
123,10226,"Bicyclo[8.1.0]undeca-2,6-diene, 3,7,11,11-tetramethyl-, (1S,2E,6E,10R)-",7170,0.012059346,0.0,0.03325617555965274,121,87
124,1914,limonene,26612,0.0102965,0.0,0.02765422619010499,124,121
125,8123,D-Mannose,41231,0.010205394,0.0,0.027364710713845566,125,61
126,9018,D-Galactose,41231,0.010205394,0.0,0.027364710713845566,127,91
127,8971,D-Glucose,41231,0.010205394,0.0,0.027364710713845566,126,92
128,1752,α-Terpinolene,18142,0.009728499,0.0,0.025849239910048488,128,133
129,8304,D-Arabinose,41273,0.008598239,0.0,0.02225751420376159,129,57
130,9464,D-Ribose,41273,0.008598239,0.0,0.02225751420376159,130,84
131,9971,D-Xylose,41273,0.008598239,0.0,0.02225751420376159,131,147
132,6231,Arabinose,41273,0.008598239,0.0,0.02225751420376159,132,105
133,8910,L-Arabinose,41273,0.008598239,0.0,0.02225751420376159,133,71
134,7881,L-Lyxose,41273,0.008598239,0.0,0.02225751420376159,134,64
135,949,ω-fenil alcanoic acid,6356,0.008413049,0.0,0.021669019801104437,135,82
136,6715,D-Galacturonic acid,41231,0.008375375,0.0,0.021549299847944407,137,143
137,6593,D-Glucuronic acid,41231,0.008375375,0.0,0.021549299847944407,136,97
138,1750,γ-Terpinene,19661,0.008086919,0.0,0.02063264807726094,138,132
139,5788,"1,5-Cyclodecadiene, 1,5-dimethyl-8-(1-methylethenyl)-, (1E,5E,8R)-",19661,0.0075865267,0.0,0.01904250785541993,139,110
140,6561,"1,5-Cyclodecadiene, 1,5-dimethyl-8-(1-methylethenyl)-, (1E,5E,8S)-",19661,0.0075865267,0.0,0.01904250785541993,140,99
141,9705,"1,5-Cyclodecadiene, 1,5-dimethyl-8-(1-methylethenyl)-, (1E,5Z,8S)-",19661,0.0075865267,0.0,0.01904250785541993,141,75
142,1745,"1,8-Cineole",24447,0.0057641855,0.0,0.013251495403713492,142,93
143,3046,Malic acid,38506,0.0057132486,0.0,0.013089628777336756,143,109
144,9449,"1,4,8-Cycloundecatriene, 2,6,6,9-tetramethyl-, (1E,4E,8E)-",11482,0.004235415,0.0,0.008393388150636253,144,85
145,7404,"12-Oxabicyclo[9.1.0]dodeca-3,7-diene, 1,5,5,8-tetramethyl-, (1R,3E,7E,11R)-",41271,0.004165552,0.0,0.008171378406844275,145,126
146,9811,"12-Oxabicyclo[9.1.0]dodeca-3,7-diene, 1,5,5,8-tetramethyl-",41271,0.004165552,0.0,0.008171378406844275,146,73
147,1828,Benzyl benzoate,26373,0.0015941468,0.0,0.0,147,138
