joint_idx,source,brnpdb_id,common_name,HIV_active,community
176,HIV,,,0.0,7356
177,HIV,,,0.0,68
178,HIV,,,0.0,69
179,HIV,,,0.0,70
180,HIV,,,0.0,71
181,HIV,,,0.0,5363
182,HIV,,,0.0,73
183,HIV,,,0.0,73
184,HIV,,,0.0,72
185,HIV,,,0.0,73
186,HIV,,,0.0,74
187,HIV,,,0.0,74
188,HIV,,,0.0,74
189,HIV,,,0.0,75
190,HIV,,,0.0,3309
191,HIV,,,0.0,76
192,HIV,,,0.0,5165
193,HIV,,,0.0,77
194,HIV,,,0.0,78
195,HIV,,,0.0,2527
196,HIV,,,0.0,79
197,HIV,,,0.0,3138
198,HIV,,,0.0,434
199,HIV,,,0.0,343
200,HIV,,,0.0,5424
201,HIV,,,0.0,5363
202,HIV,,,0.0,80
203,HIV,,,1.0,17
204,HIV,,,0.0,1016
205,HIV,,,0.0,81
206,HIV,,,0.0,5363
207,HIV,,,0.0,82
208,HIV,,,0.0,83
209,HIV,,,0.0,5747
210,HIV,,,0.0,5165
211,HIV,,,0.0,84
212,HIV,,,0.0,98
213,HIV,,,0.0,85
214,HIV,,,0.0,2546
215,HIV,,,0.0,2473
216,HIV,,,0.0,2473
217,HIV,,,0.0,2473
218,HIV,,,0.0,5363
219,HIV,,,0.0,5363
220,HIV,,,0.0,434
221,HIV,,,0.0,13609
222,HIV,,,0.0,158
223,HIV,,,0.0,5165
224,HIV,,,0.0,4548
225,HIV,,,0.0,7710
226,HIV,,,0.0,86
227,HIV,,,0.0,11760
228,HIV,,,0.0,5363
229,HIV,,,0.0,9799
230,HIV,,,0.0,87
231,HIV,,,0.0,6801
232,HIV,,,0.0,88
233,HIV,,,0.0,89
234,HIV,,,1.0,5
235,HIV,,,1.0,90
236,HIV,,,0.0,4056
237,HIV,,,0.0,7591
238,HIV,,,0.0,91
239,HIV,,,0.0,92
240,HIV,,,0.0,6801
241,HIV,,,0.0,7192
242,HIV,,,0.0,343
243,HIV,,,0.0,5992
244,HIV,,,1.0,31
245,HIV,,,0.0,93
246,HIV,,,0.0,32
247,HIV,,,0.0,1132
248,HIV,,,0.0,1132
249,HIV,,,0.0,94
250,HIV,,,0.0,95
251,HIV,,,0.0,96
252,HIV,,,0.0,343
253,HIV,,,0.0,5718
254,HIV,,,0.0,97
255,HIV,,,0.0,5597
256,HIV,,,0.0,236
257,HIV,,,0.0,61
258,HIV,,,0.0,118
259,HIV,,,0.0,98
260,HIV,,,0.0,343
261,HIV,,,0.0,84
262,HIV,,,0.0,3764
263,HIV,,,0.0,3309
264,HIV,,,0.0,3021
265,HIV,,,0.0,99
266,HIV,,,0.0,100
267,HIV,,,0.0,5424
268,HIV,,,0.0,13880
269,HIV,,,0.0,14106
270,HIV,,,0.0,101
271,HIV,,,1.0,434
272,HIV,,,0.0,5165
273,HIV,,,0.0,102
274,HIV,,,0.0,5718
275,HIV,,,0.0,434
276,HIV,,,0.0,5165
277,HIV,,,0.0,103
278,HIV,,,0.0,434
279,HIV,,,1.0,434
280,HIV,,,0.0,104
281,HIV,,,0.0,6801
282,HIV,,,0.0,105
283,HIV,,,0.0,1016
284,HIV,,,0.0,155
285,HIV,,,0.0,106
286,HIV,,,0.0,107
287,HIV,,,0.0,108
288,HIV,,,0.0,1016
289,HIV,,,0.0,3309
290,HIV,,,0.0,109
291,HIV,,,0.0,2546
292,HIV,,,0.0,5
293,HIV,,,0.0,7604
294,HIV,,,0.0,434
295,HIV,,,0.0,110
296,HIV,,,0.0,7710
297,HIV,,,0.0,1016
298,HIV,,,0.0,155
299,HIV,,,0.0,5165
300,HIV,,,0.0,1016
301,HIV,,,0.0,111
302,HIV,,,0.0,1016
303,HIV,,,0.0,1016
304,HIV,,,0.0,112
305,HIV,,,0.0,113
306,HIV,,,0.0,114
307,HIV,,,0.0,6801
308,HIV,,,0.0,6801
309,HIV,,,0.0,6801
310,HIV,,,0.0,6801
311,HIV,,,0.0,6801
312,HIV,,,0.0,115
313,HIV,,,0.0,116
314,HIV,,,0.0,2546
315,HIV,,,0.0,45
316,HIV,,,0.0,117
317,HIV,,,0.0,6039
318,HIV,,,0.0,205
319,HIV,,,0.0,10400
320,HIV,,,0.0,14106
321,HIV,,,0.0,118
322,HIV,,,0.0,5992
323,HIV,,,0.0,6801
324,HIV,,,0.0,210
325,HIV,,,0.0,604
326,HIV,,,1.0,4878
327,HIV,,,0.0,119
328,HIV,,,0.0,6801
329,HIV,,,0.0,441
330,HIV,,,0.0,120
331,HIV,,,0.0,121
332,HIV,,,0.0,13270
333,HIV,,,0.0,122
334,HIV,,,0.0,123
335,HIV,,,0.0,1016
336,HIV,,,0.0,1016
337,HIV,,,0.0,124
338,HIV,,,0.0,5597
339,HIV,,,0.0,5597
340,HIV,,,0.0,5597
341,HIV,,,0.0,5597
342,HIV,,,0.0,7356
343,HIV,,,0.0,2410
344,HIV,,,0.0,125
345,HIV,,,0.0,1016
346,HIV,,,0.0,17
347,HIV,,,0.0,3309
348,HIV,,,0.0,126
349,HIV,,,0.0,434
350,HIV,,,0.0,137
351,HIV,,,0.0,3309
352,HIV,,,1.0,127
353,HIV,,,1.0,434
354,HIV,,,0.0,343
355,HIV,,,0.0,9799
356,HIV,,,0.0,128
357,HIV,,,0.0,1016
358,HIV,,,0.0,129
359,HIV,,,0.0,1016
360,HIV,,,0.0,57
361,HIV,,,1.0,130
362,HIV,,,0.0,131
363,HIV,,,0.0,7388
364,HIV,,,0.0,14106
365,HIV,,,0.0,14106
366,HIV,,,0.0,14106
367,HIV,,,0.0,132
368,HIV,,,0.0,5424
369,HIV,,,0.0,5363
370,HIV,,,0.0,133
371,HIV,,,0.0,604
372,HIV,,,0.0,343
373,HIV,,,0.0,5165
374,HIV,,,0.0,134
375,HIV,,,0.0,135
376,HIV,,,0.0,441
377,HIV,,,0.0,1016
378,HIV,,,0.0,1016
379,HIV,,,0.0,136
380,HIV,,,0.0,6801
381,HIV,,,0.0,1286
382,HIV,,,0.0,434
383,HIV,,,0.0,434
384,HIV,,,1.0,137
385,HIV,,,0.0,137
386,HIV,,,0.0,137
387,HIV,,,1.0,137
388,HIV,,,0.0,434
389,HIV,,,0.0,137
390,HIV,,,0.0,434
391,HIV,,,0.0,434
392,HIV,,,0.0,3138
393,HIV,,,0.0,205
394,HIV,,,0.0,138
395,HIV,,,0.0,139
396,HIV,,,0.0,1016
397,HIV,,,0.0,175
398,HIV,,,0.0,7365
399,HIV,,,0.0,343
400,HIV,,,0.0,140
401,HIV,,,0.0,5
402,HIV,,,0.0,141
403,HIV,,,0.0,142
404,HIV,,,0.0,143
405,HIV,,,0.0,441
406,HIV,,,0.0,144
407,HIV,,,0.0,343
408,HIV,,,0.0,343
409,HIV,,,0.0,1729
410,HIV,,,0.0,434
411,HIV,,,0.0,145
412,HIV,,,0.0,145
413,HIV,,,0.0,146
414,HIV,,,0.0,60
415,HIV,,,0.0,147
416,HIV,,,0.0,148
417,HIV,,,0.0,2546
418,HIV,,,0.0,138
419,HIV,,,0.0,149
420,HIV,,,0.0,150
421,HIV,,,0.0,343
422,HIV,,,0.0,5363
423,HIV,,,0.0,151
424,HIV,,,0.0,152
425,HIV,,,0.0,9512
426,HIV,,,0.0,7356
427,HIV,,,0.0,7388
428,HIV,,,0.0,153
429,HIV,,,1.0,154
430,HIV,,,0.0,843
431,HIV,,,0.0,2546
432,HIV,,,0.0,155
433,HIV,,,0.0,155
434,HIV,,,1.0,155
435,HIV,,,0.0,156
436,HIV,,,0.0,1016
437,HIV,,,0.0,5363
438,HIV,,,0.0,2546
439,HIV,,,0.0,157
440,HIV,,,0.0,1016
441,HIV,,,0.0,5992
442,HIV,,,0.0,137
443,HIV,,,1.0,434
444,HIV,,,0.0,158
445,HIV,,,0.0,2473
446,HIV,,,0.0,159
447,HIV,,,0.0,160
448,HIV,,,0.0,7388
449,HIV,,,0.0,7388
450,HIV,,,0.0,5116
451,HIV,,,0.0,7356
452,HIV,,,0.0,434
453,HIV,,,0.0,7388
454,HIV,,,0.0,1016
455,HIV,,,0.0,5424
456,HIV,,,0.0,1912
457,HIV,,,0.0,343
458,HIV,,,0.0,161
459,HIV,,,0.0,3998
460,HIV,,,0.0,5747
461,HIV,,,0.0,162
462,HIV,,,0.0,163
463,HIV,,,0.0,6801
464,HIV,,,0.0,5747
465,HIV,,,0.0,5747
466,HIV,,,0.0,164
467,HIV,,,0.0,5747
468,HIV,,,0.0,7604
469,HIV,,,0.0,165
470,HIV,,,0.0,7591
471,HIV,,,0.0,8959
472,HIV,,,0.0,13270
473,HIV,,,0.0,434
474,HIV,,,0.0,434
475,HIV,,,0.0,166
476,HIV,,,0.0,1286
477,HIV,,,0.0,434
478,HIV,,,0.0,137
479,HIV,,,0.0,167
480,HIV,,,0.0,343
481,HIV,,,0.0,168
482,HIV,,,0.0,169
483,HIV,,,0.0,170
484,HIV,,,0.0,171
485,HIV,,,0.0,172
486,HIV,,,0.0,173
487,HIV,,,0.0,8199
488,HIV,,,0.0,174
489,HIV,,,0.0,175
490,HIV,,,0.0,176
491,HIV,,,0.0,177
492,HIV,,,0.0,2546
493,HIV,,,0.0,3764
494,HIV,,,0.0,178
495,HIV,,,0.0,137
496,HIV,,,0.0,137
497,HIV,,,0.0,179
498,HIV,,,1.0,434
499,HIV,,,1.0,434
500,HIV,,,0.0,205
501,HIV,,,0.0,180
502,HIV,,,0.0,1729
503,HIV,,,0.0,434
504,HIV,,,0.0,181
505,HIV,,,0.0,2546
506,HIV,,,0.0,45
507,HIV,,,0.0,182
508,HIV,,,0.0,2546
509,HIV,,,0.0,7356
510,HIV,,,0.0,183
511,HIV,,,0.0,2546
512,HIV,,,0.0,184
513,HIV,,,0.0,8526
514,HIV,,,0.0,8526
515,HIV,,,0.0,8526
516,HIV,,,0.0,8526
517,HIV,,,0.0,8526
518,HIV,,,0.0,8526
519,HIV,,,0.0,185
520,HIV,,,0.0,186
521,HIV,,,0.0,1016
522,HIV,,,0.0,2800
523,HIV,,,0.0,6801
524,HIV,,,0.0,6801
525,HIV,,,0.0,6801
526,HIV,,,0.0,187
527,HIV,,,0.0,188
528,HIV,,,0.0,2546
529,HIV,,,0.0,5363
530,HIV,,,0.0,189
531,HIV,,,0.0,1912
532,HIV,,,0.0,7388
533,HIV,,,0.0,190
534,HIV,,,0.0,192
535,HIV,,,0.0,191
536,HIV,,,0.0,192
537,HIV,,,0.0,8920
538,HIV,,,0.0,193
539,HIV,,,0.0,7337
540,HIV,,,0.0,194
541,HIV,,,0.0,331
542,HIV,,,0.0,5363
543,HIV,,,0.0,4548
544,HIV,,,0.0,195
545,HIV,,,0.0,196
546,HIV,,,0.0,7388
547,HIV,,,0.0,197
548,HIV,,,0.0,7356
549,HIV,,,0.0,5718
550,HIV,,,0.0,198
551,HIV,,,0.0,199
552,HIV,,,0.0,200
553,HIV,,,0.0,201
554,HIV,,,0.0,7591
555,HIV,,,0.0,6436
556,HIV,,,0.0,202
557,HIV,,,0.0,203
558,HIV,,,0.0,204
559,HIV,,,0.0,205
560,HIV,,,0.0,5363
561,HIV,,,0.0,843
562,HIV,,,0.0,206
563,HIV,,,0.0,177
564,HIV,,,0.0,207
565,HIV,,,0.0,208
566,HIV,,,0.0,208
567,HIV,,,0.0,7388
568,HIV,,,0.0,209
569,HIV,,,0.0,7710
570,HIV,,,0.0,98
571,HIV,,,0.0,210
572,HIV,,,0.0,211
573,HIV,,,0.0,1016
574,HIV,,,0.0,7356
575,HIV,,,0.0,538
576,HIV,,,0.0,5718
577,HIV,,,0.0,8959
578,HIV,,,0.0,8959
579,HIV,,,0.0,6801
580,HIV,,,0.0,212
581,HIV,,,0.0,213
582,HIV,,,0.0,10400
583,HIV,,,0.0,7337
584,HIV,,,0.0,214
585,HIV,,,0.0,215
586,HIV,,,0.0,1063
587,HIV,,,0.0,216
588,HIV,,,0.0,217
589,HIV,,,0.0,343
590,HIV,,,0.0,218
591,HIV,,,0.0,5363
592,HIV,,,0.0,219
593,HIV,,,0.0,434
594,HIV,,,0.0,7356
595,HIV,,,0.0,220
596,HIV,,,0.0,7710
597,HIV,,,0.0,160
598,HIV,,,0.0,221
599,HIV,,,0.0,5363
600,HIV,,,0.0,497
601,HIV,,,0.0,251
602,HIV,,,0.0,222
603,HIV,,,0.0,223
604,HIV,,,0.0,224
605,HIV,,,0.0,5363
606,HIV,,,0.0,225
607,HIV,,,0.0,226
608,HIV,,,0.0,227
609,HIV,,,0.0,1016
610,HIV,,,0.0,228
611,HIV,,,0.0,3138
612,HIV,,,0.0,229
613,HIV,,,0.0,3138
614,HIV,,,0.0,288
615,HIV,,,0.0,230
616,HIV,,,0.0,1016
617,HIV,,,0.0,3138
618,HIV,,,0.0,3138
619,HIV,,,0.0,231
620,HIV,,,0.0,7022
621,HIV,,,0.0,288
622,HIV,,,0.0,6436
623,HIV,,,0.0,7382
624,HIV,,,0.0,5363
625,HIV,,,0.0,232
626,HIV,,,0.0,7356
627,HIV,,,0.0,14043
628,HIV,,,0.0,2546
629,HIV,,,0.0,233
630,HIV,,,0.0,2546
631,HIV,,,0.0,2095
632,HIV,,,0.0,234
633,HIV,,,0.0,235
634,HIV,,,0.0,9799
635,HIV,,,0.0,1016
636,HIV,,,0.0,14125
637,HIV,,,0.0,5857
638,HIV,,,0.0,7189
639,HIV,,,0.0,3138
640,HIV,,,0.0,3138
641,HIV,,,0.0,236
642,HIV,,,0.0,236
643,HIV,,,0.0,237
644,HIV,,,0.0,1016
645,HIV,,,0.0,1016
646,HIV,,,0.0,7356
647,HIV,,,0.0,7189
648,HIV,,,0.0,7189
649,HIV,,,0.0,7189
650,HIV,,,0.0,238
651,HIV,,,0.0,7189
652,HIV,,,0.0,434
653,HIV,,,0.0,7388
654,HIV,,,1.0,2567
655,HIV,,,0.0,7388
656,HIV,,,0.0,239
657,HIV,,,0.0,240
658,HIV,,,0.0,241
659,HIV,,,0.0,242
660,HIV,,,0.0,7591
661,HIV,,,0.0,2473
662,HIV,,,0.0,2473
663,HIV,,,0.0,7337
664,HIV,,,0.0,7337
665,HIV,,,0.0,6436
666,HIV,,,0.0,5989
667,HIV,,,0.0,4281
668,HIV,,,0.0,243
669,HIV,,,0.0,2546
670,HIV,,,0.0,3309
671,HIV,,,0.0,2546
672,HIV,,,0.0,244
673,HIV,,,0.0,245
674,HIV,,,0.0,5363
675,HIV,,,0.0,11722
676,HIV,,,1.0,246
677,HIV,,,0.0,247
678,HIV,,,0.0,434
679,HIV,,,0.0,1016
680,HIV,,,0.0,248
681,HIV,,,0.0,249
682,HIV,,,0.0,250
683,HIV,,,0.0,251
684,HIV,,,0.0,5314
685,HIV,,,0.0,343
686,HIV,,,0.0,343
687,HIV,,,0.0,5363
688,HIV,,,0.0,1016
689,HIV,,,0.0,7356
690,HIV,,,0.0,441
691,HIV,,,0.0,252
692,HIV,,,0.0,271
693,HIV,,,0.0,9462
694,HIV,,,0.0,45
695,HIV,,,0.0,288
696,HIV,,,0.0,253
697,HIV,,,0.0,253
698,HIV,,,0.0,236
699,HIV,,,1.0,1607
700,HIV,,,0.0,1607
701,HIV,,,0.0,8959
702,HIV,,,0.0,7501
703,HIV,,,0.0,254
704,HIV,,,0.0,255
705,HIV,,,0.0,7356
706,HIV,,,0.0,255
707,HIV,,,0.0,256
708,HIV,,,0.0,1651
709,HIV,,,0.0,257
710,HIV,,,0.0,7604
711,HIV,,,0.0,5597
712,HIV,,,0.0,5363
713,HIV,,,0.0,5363
714,HIV,,,0.0,5363
715,HIV,,,0.0,1640
716,HIV,,,0.0,5363
717,HIV,,,0.0,343
718,HIV,,,0.0,1280
719,HIV,,,0.0,13970
720,HIV,,,0.0,258
721,HIV,,,0.0,8686
722,HIV,,,0.0,259
723,HIV,,,0.0,260
724,HIV,,,0.0,261
725,HIV,,,0.0,343
726,HIV,,,0.0,262
727,HIV,,,0.0,271
728,HIV,,,0.0,6582
729,HIV,,,0.0,6582
730,HIV,,,0.0,9223
731,HIV,,,0.0,5718
732,HIV,,,0.0,263
733,HIV,,,0.0,264
734,HIV,,,0.0,512
735,HIV,,,0.0,265
736,HIV,,,0.0,265
737,HIV,,,0.0,5165
738,HIV,,,0.0,4837
739,HIV,,,0.0,5363
740,HIV,,,1.0,10390
741,HIV,,,0.0,5363
742,HIV,,,0.0,5363
743,HIV,,,0.0,266
744,HIV,,,0.0,6801
745,HIV,,,0.0,13815
746,HIV,,,0.0,13815
747,HIV,,,0.0,267
748,HIV,,,0.0,267
749,HIV,,,0.0,268
750,HIV,,,0.0,5992
751,HIV,,,0.0,6801
752,HIV,,,0.0,269
753,HIV,,,0.0,6801
754,HIV,,,0.0,13815
755,HIV,,,0.0,6801
756,HIV,,,0.0,6801
757,HIV,,,0.0,6801
758,HIV,,,0.0,6801
759,HIV,,,0.0,2800
760,HIV,,,0.0,2473
761,HIV,,,0.0,270
762,HIV,,,0.0,343
763,HIV,,,0.0,343
764,HIV,,,0.0,343
765,HIV,,,0.0,343
766,HIV,,,0.0,6801
767,HIV,,,0.0,271
768,HIV,,,0.0,271
769,HIV,,,0.0,271
770,HIV,,,0.0,2567
771,HIV,,,0.0,2672
772,HIV,,,0.0,2672
773,HIV,,,0.0,272
774,HIV,,,0.0,273
775,HIV,,,0.0,9512
776,HIV,,,0.0,1016
777,HIV,,,0.0,1132
778,HIV,,,0.0,274
779,HIV,,,0.0,275
780,HIV,,,0.0,276
781,HIV,,,0.0,5424
782,HIV,,,0.0,1604
783,HIV,,,0.0,1604
784,HIV,,,0.0,9223
785,HIV,,,0.0,5747
786,HIV,,,0.0,5992
787,HIV,,,0.0,277
788,HIV,,,0.0,5165
789,HIV,,,0.0,278
790,HIV,,,0.0,8686
791,HIV,,,0.0,279
792,HIV,,,0.0,280
793,HIV,,,0.0,7356
794,HIV,,,0.0,1525
795,HIV,,,0.0,281
796,HIV,,,0.0,282
797,HIV,,,0.0,2546
798,HIV,,,0.0,2546
799,HIV,,,0.0,5165
800,HIV,,,0.0,283
801,HIV,,,0.0,5363
802,HIV,,,0.0,343
803,HIV,,,0.0,6801
804,HIV,,,0.0,284
805,HIV,,,0.0,284
806,HIV,,,0.0,5363
807,HIV,,,0.0,5363
808,HIV,,,0.0,5363
809,HIV,,,0.0,5363
810,HIV,,,0.0,5363
811,HIV,,,0.0,6801
812,HIV,,,0.0,286
813,HIV,,,0.0,287
814,HIV,,,0.0,1016
815,HIV,,,0.0,1016
816,HIV,,,0.0,5501
817,HIV,,,0.0,2546
818,HIV,,,1.0,271
819,HIV,,,0.0,288
820,HIV,,,0.0,329
821,HIV,,,0.0,289
822,HIV,,,0.0,231
823,HIV,,,0.0,290
824,HIV,,,0.0,291
825,HIV,,,0.0,2546
826,HIV,,,0.0,2546
827,HIV,,,0.0,2546
828,HIV,,,0.0,155
829,HIV,,,0.0,292
830,HIV,,,0.0,293
831,HIV,,,0.0,12533
832,HIV,,,0.0,3197
833,HIV,,,0.0,294
834,HIV,,,0.0,295
835,HIV,,,0.0,296
836,HIV,,,0.0,297
837,HIV,,,0.0,298
838,HIV,,,0.0,7604
839,HIV,,,0.0,299
840,HIV,,,0.0,5165
841,HIV,,,0.0,7356
842,HIV,,,0.0,9512
843,HIV,,,0.0,6582
844,HIV,,,0.0,300
845,HIV,,,0.0,8392
846,HIV,,,0.0,1913
847,HIV,,,0.0,7365
848,HIV,,,0.0,301
849,HIV,,,0.0,271
850,HIV,,,0.0,2546
851,HIV,,,0.0,74
852,HIV,,,0.0,5363
853,HIV,,,0.0,5363
854,HIV,,,0.0,4030
855,HIV,,,0.0,6436
856,HIV,,,0.0,5992
857,HIV,,,0.0,3021
858,HIV,,,0.0,302
859,HIV,,,0.0,303
860,HIV,,,0.0,6436
861,HIV,,,0.0,613
862,HIV,,,0.0,205
863,HIV,,,0.0,6801
864,HIV,,,0.0,6801
865,HIV,,,0.0,10400
866,HIV,,,0.0,10400
867,HIV,,,0.0,10400
868,HIV,,,0.0,10400
869,HIV,,,1.0,304
870,HIV,,,0.0,305
871,HIV,,,0.0,306
872,HIV,,,0.0,292
873,HIV,,,0.0,294
874,HIV,,,0.0,294
875,HIV,,,0.0,5363
876,HIV,,,0.0,288
877,HIV,,,0.0,1016
878,HIV,,,0.0,3138
879,HIV,,,1.0,3138
880,HIV,,,0.0,307
881,HIV,,,0.0,8392
882,HIV,,,0.0,308
883,HIV,,,0.0,1813
884,HIV,,,0.0,5992
885,HIV,,,0.0,309
886,HIV,,,0.0,3998
887,HIV,,,0.0,6801
888,HIV,,,0.0,3998
889,HIV,,,0.0,3998
890,HIV,,,0.0,375
891,HIV,,,0.0,3998
892,HIV,,,0.0,310
893,HIV,,,0.0,310
894,HIV,,,0.0,3279
895,HIV,,,0.0,380
896,HIV,,,0.0,5363
897,HIV,,,0.0,5363
898,HIV,,,0.0,6801
899,HIV,,,0.0,311
900,HIV,,,0.0,820
901,HIV,,,0.0,820
902,HIV,,,0.0,343
903,HIV,,,0.0,312
904,HIV,,,0.0,313
905,HIV,,,0.0,314
906,HIV,,,0.0,315
907,HIV,,,0.0,98
908,HIV,,,0.0,98
909,HIV,,,0.0,316
910,HIV,,,0.0,317
911,HIV,,,0.0,7356
912,HIV,,,0.0,318
913,HIV,,,0.0,319
914,HIV,,,0.0,320
915,HIV,,,0.0,321
916,HIV,,,0.0,322
917,HIV,,,0.0,1016
918,HIV,,,0.0,5363
919,HIV,,,0.0,3309
920,HIV,,,0.0,323
921,HIV,,,0.0,5992
922,HIV,,,0.0,324
923,HIV,,,0.0,325
924,HIV,,,0.0,57
925,HIV,,,0.0,325
926,HIV,,,0.0,2546
927,HIV,,,0.0,5363
928,HIV,,,0.0,1604
929,HIV,,,0.0,343
930,HIV,,,0.0,7388
931,HIV,,,0.0,11760
932,HIV,,,0.0,326
933,HIV,,,0.0,327
934,HIV,,,0.0,328
935,HIV,,,0.0,329
936,HIV,,,0.0,7356
937,HIV,,,0.0,330
938,HIV,,,0.0,343
939,HIV,,,0.0,331
940,HIV,,,0.0,7337
941,HIV,,,0.0,7337
942,HIV,,,0.0,332
943,HIV,,,0.0,333
944,HIV,,,0.0,6679
945,HIV,,,0.0,497
946,HIV,,,0.0,334
947,HIV,,,0.0,205
948,HIV,,,0.0,14106
949,HIV,,,0.0,335
950,HIV,,,0.0,336
951,HIV,,,0.0,7388
952,HIV,,,0.0,3998
953,HIV,,,0.0,9883
954,HIV,,,0.0,7388
955,HIV,,,0.0,337
956,HIV,,,0.0,338
957,HIV,,,0.0,338
958,HIV,,,0.0,338
959,HIV,,,0.0,339
960,HIV,,,0.0,340
961,HIV,,,0.0,341
962,HIV,,,0.0,12690
963,HIV,,,0.0,7414
964,HIV,,,0.0,342
