joint_idx,brnpdb_id,common_name,community,community_id,size,hiv_active,hiv_inactive,hiv_active_rate
41147,8699.0,"1H-Cycloprop[e]azulen-4-ol, decahydro-1,1,4,7-tetramethyl-, (1aS,4S,4aR,7S,7aR,7bR)-",2800,2800,111,0,73,0.0
41148,7858.0,"1H-Cycloprop[e]azulen-4-ol, decahydro-1,1,4,7-tetramethyl-, (1aR,4S,4aS,7R,7aS,7bS)-",2800,2800,111,0,73,0.0
41149,122.0,Quercetin,2546,2546,760,26,729,3.44
41150,5244.0,"1H-Cycloprop[e]azulen-7-ol, 1a,2,3,5,6,7,7a,7b-octahydro-1,1,4,7-tetramethyl-, (1aR,7S,7aS,7bR)-",2800,2800,111,0,73,0.0
41151,7198.0,"1H-Cycloprop[e]azulen-4-ol, decahydro-1,1,4,7-tetramethyl-, (1aR,4S,4aR,7R,7aS,7bS)-",2800,2800,111,0,73,0.0
41152,5806.0,"1H-Cycloprop[e]azulen-4-ol, decahydro-1,1,4,7-tetramethyl-, (1aR,4R,4aR,7R,7aS,7bS)-",2800,2800,111,0,73,0.0
41153,6621.0,"Urs-12-en-28-oic acid, 3-hydroxy-, (3α)-",14106,14106,308,8,294,2.65
41154,7674.0,Octadecanal,1016,1016,532,8,514,1.53
41155,6397.0,"1H-Cyclopenta[1,3]cyclopropa[1,2]benzene, octahydro-7-methyl-3-methylene-4-(1-methylethyl)-, (3aS,3bR,4S,7R,7aR)-",2800,2800,111,0,73,0.0
41156,9290.0,"Card-20(22)-enolide, 3-[(2,6-dideoxy-4-O-β-D-glucopyranosyl-β-D-ribo-hexopyranosyl)oxy]-14-hydroxy-, (3β,5β)-",14107,14107,1,0,0,
41157,1497.0,hexadecanoic acid,1016,1016,532,8,514,1.53
41158,2142.0,capric acid,1016,1016,532,8,514,1.53
41159,1223.0,3-O-methylquercetin,2546,2546,760,26,729,3.44
41160,9023.0,"2-Propenoic acid, 3-[2,2-dimethyl-8-(3-methyl-2-buten-1-yl)-2H-1-benzopyran-6-yl]-, (2E)-",14108,14108,2,0,0,
41161,7246.0,"2-Propenoic acid, 3-[2,2-dimethyl-8-(3-methyl-2-buten-1-yl)-2H-1-benzopyran-6-yl]-, (2Z)-",14108,14108,2,0,0,
41162,2143.0,lauric acid,1016,1016,532,8,514,1.53
41163,7187.0,"4H-1-Benzopyran-4-one, 3-[(6-deoxy-β-D-mannopyranosyl)oxy]-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-",155,155,43,3,26,10.34
41164,6560.0,"4H-1-Benzopyran-4-one, 3-[(6-deoxy-α-L-mannopyranosyl)oxy]-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-",155,155,43,3,26,10.34
41165,10052.0,"2-Propenoic acid, 3-[4-hydroxy-3,5-bis(3-methyl-2-buten-1-yl)phenyl]-",14109,14109,2,0,0,
41166,6662.0,"2-Propenoic acid, 3-[4-hydroxy-3,5-bis(3-methyl-2-buten-1-yl)phenyl]-, (2E)-",14109,14109,2,0,0,
41167,5456.0,"Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-, (1R,4E,9S)-",2800,2800,111,0,73,0.0
41168,5308.0,"Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-, (1R,4Z,9S)-",2800,2800,111,0,73,0.0
41169,9546.0,"4H-1-Benzopyran-4-one, 3-(α-L-arabinopyranosyloxy)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-",155,155,43,3,26,10.34
41170,9918.0,"4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-(D-xylopyranosyloxy)-",155,155,43,3,26,10.34
41171,5353.0,"4H-1-Benzopyran-4-one, 3-(β-L-arabinopyranosyloxy)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-",155,155,43,3,26,10.34
41172,9756.0,"4H-1-Benzopyran-4-one, 3-(arabinopyranosyloxy)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-",155,155,43,3,26,10.34
41173,5412.0,"4H-1-Benzopyran-4-one, 3-(β-D-arabinopyranosyloxy)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-",155,155,43,3,26,10.34
41174,8078.0,"4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-(β-D-xylopyranosyloxy)-",155,155,43,3,26,10.34
41175,10017.0,"Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-, (1R,4E,9R)-",2800,2800,111,0,73,0.0
41176,9216.0,"4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3-(β-D-glucopyranosyloxy)-5,7-dihydroxy-",155,155,43,3,26,10.34
41177,7515.0,"4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3-(β-D-galactopyranosyloxy)-5,7-dihydroxy-",155,155,43,3,26,10.34
41178,5243.0,"4H-1-Benzopyran-4-one, 3-(β-D-allopyranosyloxy)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-",155,155,43,3,26,10.34
41179,5327.0,"1H-Cycloprop[e]azulene, decahydro-1,1,7-trimethyl-4-methylene-, (1aR,4aR,7R,7aR,7bS)-",2800,2800,111,0,73,0.0
41180,3470.0,Ferulic acid,5165,5165,801,22,776,2.76
41181,7431.0,"1H-Cycloprop[e]azulene, decahydro-1,1,7-trimethyl-4-methylene-, (1aR,4aS,7R,7aR,7bS)-",2800,2800,111,0,73,0.0
41182,5437.0,"1H-Cycloprop[e]azulene, decahydro-1,1,7-trimethyl-4-methylene-",2800,2800,111,0,73,0.0
41183,8883.0,"4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-6-β-D-glucopyranosyl-5,7-dihydroxy-",155,155,43,3,26,10.34
41184,7602.0,"1H-Cycloprop[e]azulene, decahydro-1,1,7-trimethyl-4-methylene-, (1aR,4aR,7R,7aS,7bS)-rel-",2800,2800,111,0,73,0.0
41185,10222.0,"4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-5-hydroxy-3,7-dimethoxy-6-methyl-",2546,2546,760,26,729,3.44
41186,9109.0,"β-D-Glucopyranoside, 4-[[[(2E)-3-(3,4-dihydroxyphenyl)-1-oxo-2-propen-1-yl]oxy]methyl]-2-hydroxyphenyl",4618,4618,3,0,2,0.0
41187,6523.0,"4H-1-Benzopyran-4-one, 6-β-D-glucopyranosyl-5,7-dihydroxy-2-(4-hydroxyphenyl)-",155,155,43,3,26,10.34
41188,6361.0,"1H-Naphtho[2,1-a]xanthene-2,10-diol, 2,3,4,4a,4b,5,6,6a,12,12a,12b,13,14,14a-tetradecahydro-1,1,4a,6a,8,12b-hexamethyl-, (2S,4aR,4bS,6aS,12aS,12bS,14aR)-",14110,14110,4,0,3,0.0
41189,3887.0,4-nerolidylcathecol,14111,14111,20,0,15,0.0
41190,9519.0,"9H-Xanthen-9-one, 2-β-D-glucopyranosyl-1,3,6,7-tetrahydroxy-",155,155,43,3,26,10.34
41191,6009.0,"1-Naphthalenepropanoic acid, decahydro-5-[(2-hydroxy-5-methoxy-3-methylphenyl)methyl]-5,6,8a-trimethyl-2-(1-methylethylidene)-, (1S,4aR,5S,6S,8aR)-",14112,14112,1,0,0,
41192,6665.0,"1-Naphthalenepropanoic acid, decahydro-5-[(2-hydroxy-5-methoxy-3-methylphenyl)methyl]-5,6,8a-trimethyl-2-(1-methylethylidene)-, methyl ester, [1S-(1α,4aβ,5β,6β,8aα)]-",14113,14113,1,0,0,
41193,7030.0,"1H-Cycloprop[e]azulene, decahydro-1,1,4-trimethyl-7-methylene-, (1aR,4R,4aR,7aR,7bR)-",2800,2800,111,0,73,0.0
41194,3892.0,Kaempferide,2546,2546,760,26,729,3.44
41195,6760.0,"Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, 2-acetate",14114,14114,13,0,9,0.0
41196,8833.0,"Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, 2-acetate, (1R,2R,4R)-rel-",14114,14114,13,0,9,0.0
41197,9574.0,"Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, 2-acetate, (1R,2S,4R)-rel-",14114,14114,13,0,9,0.0
41198,6597.0,"Bicyclo[3.1.0]hexan-3-ol, 4-methylene-1-(1-methylethyl)-, 3-acetate, (1S,3S,5S)-",14114,14114,13,0,9,0.0
41199,8237.0,"2(5H)-Oxepinone, 7-[6-(acetyloxy)-1-hydroxy-4-hexen-1-yl]-6,7-dihydro-7-methyl-3-(4-methyl-3-penten-1-yl)-",14115,14115,1,0,0,
41200,9647.0,"5-Oxatricyclo[8.2.0.04,6]dodecane, 4,12,12-trimethyl-9-methylene-, (1R,4R,6R,10S)-",2800,2800,111,0,73,0.0
41201,9283.0,"5-Oxatricyclo[8.2.0.04,6]dodecane, 4,12,12-trimethyl-9-methylene-, (1S,4R,6R,10R)-",2800,2800,111,0,73,0.0
41202,5613.0,"4H-1-Benzopyran-4-one, 5,6,7-trihydroxy-3-methoxy-2-(4-methoxyphenyl)-",2546,2546,760,26,729,3.44
41203,1915.0,tricyclene,189,189,2,0,1,0.0
41204,9596.0,"1H-Cycloprop[e]azulene, 1a,2,3,4,4a,5,6,7b-octahydro-1,1,4,7-tetramethyl-, (1aR,4R,4aR,7bS)-rel-",2800,2800,111,0,73,0.0
41205,6585.0,"1H-Cycloprop[e]azulene, 1a,2,3,4,4a,5,6,7b-octahydro-1,1,4,7-tetramethyl-, (1aR,4R,4aR,7bS)-",2800,2800,111,0,73,0.0
41206,8651.0,"Stigmast-5-en-3-ol, (3β,24S)-",7388,7388,333,8,321,2.43
41207,7333.0,"Stigmast-5-en-3-ol, (3β)-",7388,7388,333,8,321,2.43
41208,7884.0,"Stigmast-5-en-3-ol, (3β,24ξ)-",7388,7388,333,8,321,2.43
41209,7233.0,Stigmast-5-en-3-ol,7388,7388,333,8,321,2.43
41210,5696.0,"Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-",2800,2800,111,0,73,0.0
41211,9032.0,"2(5H)-Furanone, 5-(2,4,6-octatriyn-1-yl)-, (5R)-",14117,14117,6,0,0,
41212,1747.0,Myrcene,14116,14116,2,0,1,0.0
41213,5783.0,"1H-Cyclopenta[1,3]cyclopropa[1,2]benzene, 3a,3b,4,5,6,7-hexahydro-3,7-dimethyl-4-(1-methylethyl)-, (3aS,3bR,4S,7R,7aR)-",2800,2800,111,0,73,0.0
41214,8780.0,"2(3H)-Furanone, dihydro-4-hydroxy-5-(8-hydroxy-2,4,6-octatriyn-1-yl)-, (4S,5S)-",14117,14117,6,0,0,
41215,9218.0,"Cyclobuta[1,2:3,4]dicyclopentene, decahydro-3a-methyl-6-methylene-1-(1-methylethyl)-, (1S,3aS,3bR,6aS,6bR)-",2800,2800,111,0,73,0.0
41216,7477.0,"2(3H)-Furanone, dihydro-4-hydroxy-5-(2,4,6-octatriyn-1-yl)-, (4S,5R)-",14117,14117,6,0,0,
41217,7499.0,"2(3H)-Furanone, dihydro-4-hydroxy-5-(2,4,6-octatriyn-1-yl)-, (4R,5S)-rel-",14117,14117,6,0,0,
41218,9601.0,"2(3H)-Furanone, 5-(1,8-dihydroxy-2,4,6-octatriyn-1-yl)dihydro-, (5S)-",14117,14117,6,0,0,
41219,3631.0,Tetradecanal,1016,1016,532,8,514,1.53
41220,1737.0,Sabinene,14118,14118,1,0,0,
41221,8658.0,"Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-, (1S,4E,9R)-",2800,2800,111,0,73,0.0
41222,5936.0,"2(3H)-Furanone, dihydro-5-(8-hydroxy-2,4,6-octatriyn-1-yl)-, (5S)-",14117,14117,6,0,0,
41223,5919.0,"4H-1-Benzopyran-4-one, 2,3-dihydro-3,5,7-trihydroxy-2-(4-methoxyphenyl)-, (2R,3R)-",45,45,75,10,64,13.51
41224,6636.0,"4H-Benzo[de][1,6]naphthyridine, 8,9-dimethoxy-4-methyl-",14119,14119,1,0,0,
41225,6604.0,"Bicyclo[3.3.1]non-2-ene-1,2-dicarboxaldehyde, 9-(acetyloxy)-8-[(1R)-1,5-dimethyl-4-hexen-1-yl]-5-methyl-, (1R,5R,8S,9R)-",14120,14120,2,0,0,
41226,6695.0,"Bicyclo[3.3.1]non-2-ene-1,2-dicarboxaldehyde, 8-[(1R)-1,5-dimethyl-4-hexen-1-yl]-9-hydroxy-5-methyl-, (1R,5R,8S,9R)-",14120,14120,2,0,0,
41227,1389.0,Linalyl acetate,14111,14111,20,0,15,0.0
41228,7099.0,"Naphthalene, 1,2,3,5,6,8a-hexahydro-4,7-dimethyl-1-(1-methylethyl)-, (1S,8aS)-",14121,14121,2,0,0,
41229,8558.0,"Naphthalene, 1,2,3,5,6,8a-hexahydro-4,7-dimethyl-1-(1-methylethyl)-, (1S,8aR)-",14121,14121,2,0,0,
41230,7805.0,"Tricyclo[4.4.0.02,7]dec-3-ene, 1,3-dimethyl-8-(1-methylethyl)-, (1R,2S,6S,7S,8S)-",2800,2800,111,0,73,0.0
41231,9377.0,"Tricyclo[4.4.0.02,7]dec-3-ene, 1,3-dimethyl-8-(1-methylethyl)-, (1S,2R,6R,7R,8S)-",2800,2800,111,0,73,0.0
41232,3278.0,nerolidol,14111,14111,20,0,15,0.0
41233,7314.0,"1H-Cycloprop[e]azulen-7-ol, decahydro-1,1,7-trimethyl-4-methylene-, (1aR,4aR,7S,7aR,7bR)-",2800,2800,111,0,73,0.0
41234,8640.0,"1H-Cycloprop[e]azulen-7-ol, decahydro-1,1,7-trimethyl-4-methylene-, (1aS,4aS,7R,7aS,7bS)-",2800,2800,111,0,73,0.0
41235,1746.0,β-Pinene,2800,2800,111,0,73,0.0
41236,3151.0,farnesol,14111,14111,20,0,15,0.0
41237,1741.0,Terpinen-4-ol,14122,14122,2,0,0,
41238,8570.0,"6H-Purin-6-one, 2-amino-1,9-dihydro-9-[(2-hydroxyethoxy)methyl]-",5424,5424,153,1,151,0.66
41239,1380.0,Linalool,14111,14111,20,0,15,0.0
41240,2027.0,Camphene,2800,2800,111,0,73,0.0
41241,7698.0,"1,6-Cyclodecadiene, 1-methyl-5-methylene-8-(1-methylethyl)-, (1E,6E,8S)-",2800,2800,111,0,73,0.0
41242,1902.0,a-terpinene,14123,14123,1,0,0,
41243,1755.0,α-Pinene,2800,2800,111,0,73,0.0
41244,7367.0,"2-Naphthalenemethanol, 1,2,3,4,4a,5,6,7-octahydro-α,α,4a,8-tetramethyl-, (2R,4aS)-",14106,14106,308,8,294,2.65
41245,6567.0,"2-Naphthalenemethanol, 1,2,3,4,4a,5,6,7-octahydro-α,α,4a,8-tetramethyl-, (2R,4aR)-",14106,14106,308,8,294,2.65
41246,10068.0,"α-L-Mannopyranose, 6-deoxy-",14124,14124,2,0,0,
41247,8606.0,"α-D-Galactopyranose, 6-deoxy-",14124,14124,2,0,0,
41248,10174.0,"4,6-Cyclopentacycloundecenediol, 1,2,3,3a,4,5,6,9,10,12a-decahydro-3-(1-hydroxy-1-methylethyl)-6,10,12a-trimethyl-, (3R,3aS,4S,6S,7E,10R,11E,12aR)-rel-(-)-",4581,4581,4,0,3,0.0
41249,10226.0,"Bicyclo[8.1.0]undeca-2,6-diene, 3,7,11,11-tetramethyl-, (1S,2E,6E,10R)-",2800,2800,111,0,73,0.0
41250,1914.0,limonene,2800,2800,111,0,73,0.0
41251,8123.0,D-Mannose,14126,14126,9,0,0,
41252,9018.0,D-Galactose,14126,14126,9,0,0,
41253,8971.0,D-Glucose,14126,14126,9,0,0,
41254,1752.0,α-Terpinolene,14122,14122,2,0,0,
41255,8304.0,D-Arabinose,14125,14125,4,0,2,0.0
41256,9464.0,D-Ribose,14126,14126,9,0,0,
41257,9971.0,D-Xylose,14126,14126,9,0,0,
41258,6231.0,Arabinose,14126,14126,9,0,0,
41259,8910.0,L-Arabinose,14126,14126,9,0,0,
41260,7881.0,L-Lyxose,14125,14125,4,0,2,0.0
41261,949.0,ω-fenil alcanoic acid,5597,5597,339,3,334,0.89
41262,6715.0,D-Galacturonic acid,14127,14127,2,0,0,
41263,6593.0,D-Glucuronic acid,14127,14127,2,0,0,
41264,1750.0,γ-Terpinene,14128,14128,1,0,0,
41265,5788.0,"1,5-Cyclodecadiene, 1,5-dimethyl-8-(1-methylethenyl)-, (1E,5E,8R)-",2800,2800,111,0,73,0.0
41266,6561.0,"1,5-Cyclodecadiene, 1,5-dimethyl-8-(1-methylethenyl)-, (1E,5E,8S)-",2800,2800,111,0,73,0.0
41267,9705.0,"1,5-Cyclodecadiene, 1,5-dimethyl-8-(1-methylethenyl)-, (1E,5Z,8S)-",2800,2800,111,0,73,0.0
41268,1745.0,"1,8-Cineole",14129,14129,1,0,0,
41269,3046.0,Malic acid,205,205,175,2,172,1.15
41270,9449.0,"1,4,8-Cycloundecatriene, 2,6,6,9-tetramethyl-, (1E,4E,8E)-",2800,2800,111,0,73,0.0
41271,7404.0,"12-Oxabicyclo[9.1.0]dodeca-3,7-diene, 1,5,5,8-tetramethyl-, (1R,3E,7E,11R)-",2800,2800,111,0,73,0.0
41272,9811.0,"12-Oxabicyclo[9.1.0]dodeca-3,7-diene, 1,5,5,8-tetramethyl-",2800,2800,111,0,73,0.0
41273,1828.0,Benzyl benzoate,5597,5597,339,3,334,0.89
