label,community_id,size,n_active,n_inactive,hiv_rate,intra_edges
79,1553,13,0,13,0.0,41
80,1566,7,1,6,0.1429,16
81,1576,6,0,6,0.0,14
82,1602,5,0,5,0.0,8
83,1640,18,0,18,0.0,67
84,1676,18,0,18,0.0,67
85,1705,8,1,7,0.125,23
86,1724,97,2,95,0.0206,492
87,1754,6,0,6,0.0,12
88,1773,12,1,11,0.0833,60
89,1786,33,10,23,0.303,168
90,1810,12,0,12,0.0,41
91,1880,16,0,16,0.0,55
92,1890,16,0,16,0.0,53
93,1892,15,0,15,0.0,56
94,1940,8,0,8,0.0,17
95,1952,22,0,22,0.0,96
96,1976,4,0,4,0.0,4
97,1980,20,0,20,0.0,87
98,1982,8,1,7,0.125,22
99,2020,7,0,7,0.0,19
100,2038,8,0,8,0.0,21
101,2041,7,0,7,0.0,10
102,2082,6,0,6,0.0,10
103,2089,22,0,22,0.0,88
104,2101,10,0,10,0.0,29
105,2110,30,0,30,0.0,112
106,2114,6,0,6,0.0,12
107,2115,16,0,16,0.0,54
108,2141,5,0,5,0.0,9
109,2149,30,2,28,0.0667,114
110,2185,22,1,21,0.0455,99
111,2186,34,2,32,0.0588,157
112,2187,24,0,24,0.0,100
113,2191,20,8,12,0.4,79
114,2205,7,0,7,0.0,16
115,2226,11,7,4,0.6364,45
116,2228,9,0,9,0.0,27
117,2270,18,1,17,0.0556,70
118,2272,12,0,12,0.0,42
119,2278,9,0,9,0.0,27
120,2289,13,0,13,0.0,39
121,2293,15,0,15,0.0,55
122,2321,13,0,13,0.0,48
123,2339,6,0,6,0.0,13
124,2348,20,0,20,0.0,55
125,2414,26,1,25,0.0385,108
126,2460,7,0,7,0.0,19
127,2464,6,1,5,0.1667,15
128,2483,17,0,17,0.0,76
129,2504,14,0,14,0.0,47
130,2517,6,0,6,0.0,13
131,2535,13,1,12,0.0769,64
132,2544,22,7,15,0.3182,115
133,2545,13,1,12,0.0769,57
134,2557,17,3,14,0.1765,58
135,2562,9,0,9,0.0,22
136,2595,16,0,16,0.0,57
137,2620,31,1,30,0.0323,109
138,2637,10,0,10,0.0,35
139,2648,22,0,22,0.0,73
140,2683,8,0,8,0.0,20
141,2699,4,0,4,0.0,4
142,2724,10,0,10,0.0,23
143,2757,13,0,13,0.0,34
144,2805,27,2,25,0.0741,106
145,2813,2,0,2,0.0,3
146,2840,17,0,17,0.0,58
147,2858,9,0,9,0.0,26
148,2860,28,0,28,0.0,116
149,2876,19,1,18,0.0526,89
150,2913,14,0,14,0.0,53
151,2915,5,0,5,0.0,10
152,2926,17,1,16,0.0588,72
153,2934,27,0,27,0.0,114
154,2951,7,0,7,0.0,16
155,3007,33,2,31,0.0606,161
156,3016,20,0,20,0.0,71
157,3039,5,0,5,0.0,9
158,3049,3,0,3,0.0,3
159,3059,37,0,37,0.0,157
160,3071,11,0,11,0.0,38
161,3079,55,2,53,0.0364,259
162,3083,5,5,0,1.0,9
163,3118,9,0,9,0.0,24
164,3126,36,0,36,0.0,162
165,3137,11,0,11,0.0,33
166,3141,9,0,9,0.0,19
167,3155,11,0,11,0.0,32
168,3180,30,0,30,0.0,149
169,3214,5,0,5,0.0,12
170,3219,7,0,7,0.0,23
171,3226,45,0,45,0.0,227
172,3254,10,0,10,0.0,19
173,3257,6,0,6,0.0,15
174,3277,22,0,22,0.0,96
175,3279,19,0,19,0.0,79
176,3352,47,0,47,0.0,199
177,3356,18,0,18,0.0,81
178,3434,10,1,9,0.1,29
179,3487,6,0,6,0.0,13
180,3502,15,0,15,0.0,62
181,3541,26,0,26,0.0,91
182,3542,5,0,5,0.0,9
183,3554,13,0,13,0.0,31
184,3559,27,0,27,0.0,100
185,3560,40,1,39,0.025,173
186,3574,12,0,12,0.0,39
187,3576,8,0,8,0.0,21
188,3580,14,5,9,0.3571,59
189,3595,29,0,29,0.0,128
190,3609,24,0,24,0.0,93
191,3612,17,0,17,0.0,52
192,3625,32,2,30,0.0625,155
193,3626,38,0,38,0.0,152
194,3646,15,0,15,0.0,47
195,3659,6,0,6,0.0,13
196,3676,14,0,14,0.0,47
197,3706,9,0,9,0.0,25
198,3714,9,0,9,0.0,24
199,3723,9,0,9,0.0,24
200,3725,13,0,13,0.0,54
201,3729,20,2,18,0.1,84
202,3748,17,0,17,0.0,77
203,3755,17,0,17,0.0,65
204,3758,8,0,8,0.0,23
205,3771,10,1,9,0.1,32
206,3775,16,0,16,0.0,53
207,3777,17,0,17,0.0,56
208,3786,5,0,5,0.0,9
209,3820,15,0,15,0.0,45
210,3826,31,1,30,0.0323,132
211,3828,33,0,33,0.0,132
212,3831,34,0,34,0.0,140
213,3848,11,1,10,0.0909,32
214,3849,10,1,9,0.1,25
215,3850,15,3,12,0.2,52
216,3853,4,0,4,0.0,6
217,3855,10,0,10,0.0,28
218,3877,10,1,9,0.1,22
219,3878,18,0,18,0.0,72
220,3887,14,0,14,0.0,47
221,3902,10,0,10,0.0,27
222,3937,8,0,8,0.0,19
223,3959,12,0,12,0.0,37
224,4022,14,5,9,0.3571,52
225,4055,9,0,9,0.0,31
226,4061,33,0,33,0.0,133
227,4075,49,0,49,0.0,192
228,4098,46,2,44,0.0435,181
229,4110,40,2,38,0.05,138
230,4111,19,0,19,0.0,55
231,4141,20,2,18,0.1,88
232,4170,24,1,23,0.0417,93
233,4231,25,0,25,0.0,92
234,4233,14,0,14,0.0,51
235,4272,11,0,11,0.0,29
236,4299,11,0,11,0.0,40
237,4304,8,0,8,0.0,17
238,4346,9,0,9,0.0,33
239,4365,5,0,5,0.0,10
240,4368,17,0,17,0.0,79
241,4406,9,0,9,0.0,22
242,4441,49,1,48,0.0204,226
243,4444,4,0,4,0.0,6
244,4447,22,2,20,0.0909,82
245,4454,29,1,28,0.0345,100
246,4488,9,0,9,0.0,25
247,4520,34,0,34,0.0,151
248,4546,36,0,36,0.0,170
249,4561,17,1,16,0.0588,61
250,4564,4,0,4,0.0,5
251,4595,22,0,22,0.0,85
252,4604,9,0,9,0.0,24
253,4616,31,0,31,0.0,124
254,4620,13,0,13,0.0,44
255,4622,8,0,8,0.0,22
256,4630,6,0,6,0.0,12
257,4631,5,0,5,0.0,9
258,4642,4,0,4,0.0,6
259,4651,49,2,47,0.0408,206
260,4655,6,0,6,0.0,13
261,4680,33,2,31,0.0606,149
262,4682,11,0,11,0.0,31
263,4693,10,0,10,0.0,31
264,4707,9,0,9,0.0,24
265,4711,4,1,3,0.25,6
266,4735,14,1,13,0.0714,42
267,4750,30,0,30,0.0,120
268,4758,10,0,10,0.0,32
269,4783,11,0,11,0.0,34
270,4870,12,0,12,0.0,35
271,4873,31,0,31,0.0,126
272,4890,21,0,21,0.0,73
273,4898,7,0,7,0.0,18
274,4903,4,0,4,0.0,6
275,4904,5,0,5,0.0,9
276,4961,6,0,6,0.0,14
277,4981,16,0,16,0.0,68
278,5019,5,0,5,0.0,10
279,5043,17,0,17,0.0,77
280,5070,8,0,8,0.0,21
281,5094,36,0,36,0.0,150
282,5108,66,1,65,0.0152,352
283,5122,6,0,6,0.0,11
284,5127,13,0,13,0.0,39
285,5129,18,0,18,0.0,62
286,5130,11,0,11,0.0,32
287,5137,8,0,8,0.0,21
288,5142,7,0,7,0.0,18
289,5158,4,0,4,0.0,6
290,5209,9,0,9,0.0,27
291,5218,20,0,20,0.0,79
292,5232,8,0,8,0.0,15
293,5259,14,2,12,0.1429,40
294,5282,18,0,18,0.0,76
295,5292,26,0,26,0.0,132
296,5316,4,0,4,0.0,6
297,5344,6,0,6,0.0,11
298,5349,9,0,9,0.0,17
299,5367,23,0,23,0.0,137
300,5370,20,0,20,0.0,99
301,5396,4,0,4,0.0,6
302,5401,3,0,3,0.0,3
303,5411,6,0,6,0.0,13
304,5431,11,0,11,0.0,26
305,5446,5,0,5,0.0,9
306,5453,19,0,19,0.0,77
307,5463,8,0,8,0.0,22
308,5475,12,11,1,0.9167,49
309,5481,24,0,24,0.0,95
310,5482,5,0,5,0.0,10
311,5484,10,0,10,0.0,18
312,5491,10,0,10,0.0,40
313,5493,12,0,12,0.0,34
314,5509,6,0,6,0.0,15
315,5555,8,0,8,0.0,22
316,5558,11,0,11,0.0,37
317,5585,23,0,23,0.0,86
318,5591,24,0,24,0.0,87
319,5593,5,0,5,0.0,10
320,5611,34,0,34,0.0,136
321,5638,23,0,23,0.0,90
322,5662,13,0,13,0.0,34
323,5667,35,0,35,0.0,130
324,5677,11,0,11,0.0,34
325,5709,13,0,13,0.0,49
326,5710,21,1,20,0.0476,84
327,5714,26,0,26,0.0,117
328,5720,54,1,53,0.0185,216
329,5731,51,0,51,0.0,205
330,5754,7,0,7,0.0,13
331,5758,13,0,13,0.0,47
332,5778,19,0,19,0.0,71
333,5785,28,0,28,0.0,127
334,5789,8,0,8,0.0,19
335,5796,16,0,16,0.0,50
336,5806,8,0,8,0.0,22
337,5822,9,0,9,0.0,21
338,5836,31,10,21,0.3226,179
339,5838,5,0,5,0.0,10
340,5862,4,0,4,0.0,6
341,5878,5,0,5,0.0,7
342,5896,12,11,1,0.9167,51
343,5908,27,0,27,0.0,99
344,5939,4,0,4,0.0,6
345,5959,24,0,24,0.0,114
346,5961,26,1,25,0.0385,120
347,5964,15,0,15,0.0,54
348,5975,35,0,35,0.0,141
349,5987,7,0,7,0.0,17
350,6002,21,0,21,0.0,75
351,6004,10,0,10,0.0,24
352,6033,33,1,32,0.0303,138
353,6041,7,0,7,0.0,21
354,6056,11,2,9,0.1818,41
355,6074,15,3,12,0.2,64
356,6082,29,5,24,0.1724,133
357,6108,17,1,16,0.0588,62
358,6114,14,0,14,0.0,50
359,6120,21,0,21,0.0,110
360,6132,18,1,17,0.0556,84
361,6152,22,1,21,0.0455,78
362,6159,8,0,8,0.0,20
363,6174,16,0,16,0.0,66
364,6177,6,1,5,0.1667,15
365,6185,9,1,8,0.1111,28
366,6190,10,0,10,0.0,30
367,6210,7,0,7,0.0,14
368,6242,25,1,24,0.04,103
369,6257,8,0,8,0.0,23
370,6259,16,0,16,0.0,52
371,6271,20,0,20,0.0,90
372,6272,8,0,8,0.0,25
373,6285,18,0,18,0.0,67
374,6295,41,0,41,0.0,172
375,6316,19,0,19,0.0,56
376,6322,14,0,14,0.0,46
377,6328,16,0,16,0.0,56
378,6330,34,1,33,0.0294,146
379,6356,15,1,14,0.0667,52
380,6368,4,0,4,0.0,6
381,6380,9,0,9,0.0,28
382,6401,18,0,18,0.0,81
383,6416,15,0,15,0.0,55
384,6419,7,0,7,0.0,19
385,6426,15,0,15,0.0,50
386,6442,20,0,20,0.0,72
387,6451,7,0,7,0.0,19
388,6467,5,3,2,0.6,10
389,6480,18,12,6,0.6667,76
390,6485,37,0,37,0.0,176
391,6524,6,5,1,0.8333,15
392,6525,15,0,15,0.0,46
393,6559,20,0,20,0.0,68
394,6561,11,0,11,0.0,25
395,6587,11,0,11,0.0,29
396,6590,9,0,9,0.0,23
397,6591,6,0,6,0.0,13
398,6604,23,0,23,0.0,94
399,6625,6,0,6,0.0,13
400,6641,11,0,11,0.0,35
401,6656,4,0,4,0.0,7
402,6664,12,0,12,0.0,39
403,6667,10,0,10,0.0,28
404,6668,10,1,9,0.1,28
405,6678,23,0,23,0.0,94
406,6713,22,0,22,0.0,106
407,6721,31,0,31,0.0,146
408,6723,5,0,5,0.0,8
409,6732,6,0,6,0.0,13
410,6747,22,0,22,0.0,85
411,6766,7,0,7,0.0,13
412,6813,18,2,16,0.1111,68
413,6837,27,0,27,0.0,128
414,6846,108,6,102,0.0556,557
415,6854,20,0,20,0.0,65
416,6859,13,0,13,0.0,37
417,6879,24,0,24,0.0,108
418,6896,5,0,5,0.0,8
419,6897,31,1,30,0.0323,107
420,6902,6,0,6,0.0,14
421,6929,15,0,15,0.0,51
422,6930,55,0,55,0.0,219
423,6944,24,0,24,0.0,99
424,6978,29,0,29,0.0,101
425,6979,13,1,12,0.0769,42
426,6989,12,0,12,0.0,31
427,6998,8,0,8,0.0,20
428,7004,7,0,7,0.0,16
429,7012,22,0,22,0.0,87
430,7023,30,0,30,0.0,117
431,7047,10,1,9,0.1,22
432,7052,4,0,4,0.0,6
433,7054,13,0,13,0.0,38
434,7064,16,1,15,0.0625,38
435,7065,23,0,23,0.0,77
436,7068,24,1,23,0.0417,97
437,7081,7,0,7,0.0,17
438,7092,33,19,14,0.5758,208
439,7107,22,1,21,0.0455,96
440,7108,31,0,31,0.0,144
441,7119,3,0,3,0.0,3
442,7127,2,0,2,0.0,1
443,7143,22,15,7,0.6818,92
444,7150,7,0,7,0.0,17
445,7155,31,0,31,0.0,143
446,7157,16,1,15,0.0625,56
447,7170,28,2,26,0.0714,130
448,7171,8,0,8,0.0,20
449,7183,10,0,10,0.0,27
450,7218,18,1,17,0.0556,84
451,7224,34,0,34,0.0,153
452,7230,45,0,45,0.0,175
453,7243,26,0,26,0.0,94
454,7262,26,0,26,0.0,143
455,7267,5,0,5,0.0,10
456,7276,14,0,14,0.0,39
457,7279,9,0,9,0.0,26
458,7293,12,0,12,0.0,41
459,7366,11,0,11,0.0,35
460,7372,15,1,14,0.0667,58
461,7400,8,0,8,0.0,17
462,7401,7,0,7,0.0,16
463,7418,7,0,7,0.0,17
464,7451,16,0,16,0.0,51
465,7486,20,0,20,0.0,72
466,7498,22,0,22,0.0,93
467,7510,20,0,20,0.0,81
468,7516,16,0,16,0.0,51
469,7521,12,0,12,0.0,27
470,7523,18,0,18,0.0,51
471,7547,33,0,33,0.0,158
472,7634,25,1,24,0.04,113
473,7674,33,1,32,0.0303,135
474,7677,18,0,18,0.0,69
475,7699,19,0,19,0.0,75
476,7700,10,0,10,0.0,37
477,7739,11,0,11,0.0,32
478,7749,6,0,6,0.0,11
479,7775,27,0,27,0.0,86
480,7778,31,1,30,0.0323,131
481,7793,6,0,6,0.0,13
482,7808,34,0,34,0.0,160
483,7840,3,0,3,0.0,3
484,7884,56,1,55,0.0179,251
485,7896,11,0,11,0.0,43
486,7899,20,0,20,0.0,82
487,7911,36,1,35,0.0278,172
488,7919,10,0,10,0.0,35
489,7937,5,0,5,0.0,12
490,7945,9,0,9,0.0,26
491,7952,9,1,8,0.1111,24
492,7972,40,2,38,0.05,177
493,7973,19,0,19,0.0,83
494,7989,6,1,5,0.1667,13
495,7991,41,0,41,0.0,184
496,7993,30,0,30,0.0,140
497,8008,17,0,17,0.0,64
498,8013,6,0,6,0.0,13
499,8046,15,1,14,0.0667,52
500,8061,10,0,10,0.0,32
501,8073,11,0,11,0.0,26
502,8074,13,0,13,0.0,38
503,8086,24,0,24,0.0,104
504,8090,5,0,5,0.0,10
505,8091,11,1,10,0.0909,31
506,8117,4,0,4,0.0,6
507,8118,9,2,7,0.2222,25
508,8159,8,1,7,0.125,17
509,8162,3,0,3,0.0,3
510,8177,18,0,18,0.0,80
511,8184,7,0,7,0.0,20
512,8190,6,0,6,0.0,12
513,8199,7,0,7,0.0,15
514,8202,17,0,17,0.0,63
515,8205,7,1,6,0.1429,17
516,8217,16,0,16,0.0,57
517,8261,11,0,11,0.0,32
518,8273,6,0,6,0.0,12
519,8274,11,0,11,0.0,32
520,8299,11,1,10,0.0909,28
521,8301,17,1,16,0.0588,58
522,8304,7,0,7,0.0,18
523,8307,21,1,20,0.0476,88
524,8320,13,0,13,0.0,51
525,8321,16,0,16,0.0,34
526,8322,15,0,15,0.0,56
527,8354,4,0,4,0.0,6
528,8384,8,0,8,0.0,18
529,8385,9,0,9,0.0,18
530,8395,36,0,36,0.0,164
531,8416,19,1,18,0.0526,60
532,8419,13,0,13,0.0,40
533,8441,25,0,25,0.0,131
534,8457,5,0,5,0.0,8
535,8460,4,0,4,0.0,6
536,8463,4,0,4,0.0,5
537,8486,18,1,17,0.0556,59
538,8489,11,0,11,0.0,28
539,8494,8,0,8,0.0,18
540,8515,15,0,15,0.0,50
541,8546,16,1,15,0.0625,64
542,8581,13,0,13,0.0,41
543,8594,36,0,36,0.0,150
544,8600,20,1,19,0.05,74
545,8604,14,0,14,0.0,52
546,8608,12,1,11,0.0833,32
547,8628,12,0,12,0.0,58
548,8635,12,0,12,0.0,39
549,8643,17,0,17,0.0,64
550,8659,50,1,49,0.02,202
551,8686,10,0,10,0.0,31
552,8699,20,0,20,0.0,79
553,8701,14,0,14,0.0,38
554,8715,21,0,21,0.0,61
555,8747,19,0,19,0.0,73
556,8751,13,1,12,0.0769,38
557,8753,9,0,9,0.0,26
558,8766,38,0,38,0.0,179
559,8770,7,0,7,0.0,18
560,8799,7,0,7,0.0,14
561,8824,12,0,12,0.0,38
562,8826,8,0,8,0.0,20
563,8828,20,0,20,0.0,72
564,8867,40,0,40,0.0,171
565,8871,12,0,12,0.0,40
566,8875,6,0,6,0.0,12
567,8877,11,0,11,0.0,34
568,8882,11,0,11,0.0,37
569,8909,10,1,9,0.1,34
570,8950,41,0,41,0.0,218
571,8975,12,1,11,0.0833,55
572,8980,9,0,9,0.0,24
573,8986,5,1,4,0.2,12
574,9007,17,10,7,0.5882,73
575,9023,9,0,9,0.0,29
576,9036,12,0,12,0.0,45
577,9065,7,1,6,0.1429,18
578,9070,13,8,5,0.6154,52
579,9107,11,0,11,0.0,41
580,9142,13,0,13,0.0,56
581,9161,18,0,18,0.0,70
582,9194,23,1,22,0.0435,84
583,9199,37,4,33,0.1081,161
584,9206,16,0,16,0.0,59
585,9237,22,1,21,0.0455,81
586,9238,7,0,7,0.0,17
587,9281,8,0,8,0.0,23
588,9366,18,1,17,0.0556,63
589,9370,12,4,8,0.3333,46
590,9388,18,4,14,0.2222,86
591,9416,24,1,23,0.0417,101
592,9445,21,0,21,0.0,88
593,9473,6,0,6,0.0,11
594,9478,22,0,22,0.0,77
595,9504,10,0,10,0.0,27
596,9509,17,12,5,0.7059,97
597,9517,40,0,40,0.0,191
598,9529,8,1,7,0.125,25
599,9538,11,0,11,0.0,33
600,9539,33,0,33,0.0,110
601,9550,5,0,5,0.0,9
602,9560,5,0,5,0.0,10
603,9574,12,1,11,0.0833,40
604,9591,6,0,6,0.0,11
605,9614,28,0,28,0.0,122
606,9691,17,1,16,0.0588,68
607,9716,34,1,33,0.0294,118
608,9725,15,3,12,0.2,42
609,9738,18,1,17,0.0556,60
610,9785,9,0,9,0.0,32
611,9829,36,0,36,0.0,177
612,9859,7,0,7,0.0,16
613,9875,20,0,20,0.0,95
614,9888,13,0,13,0.0,48
615,9923,27,0,27,0.0,152
616,9924,46,1,45,0.0217,198
617,9925,19,0,19,0.0,59
618,9927,59,0,59,0.0,269
619,9931,14,0,14,0.0,45
620,9936,5,0,5,0.0,9
621,9953,19,0,19,0.0,65
622,9954,26,0,26,0.0,103
623,9960,15,0,15,0.0,36
624,9961,26,0,26,0.0,81
625,9971,3,0,3,0.0,3
626,9984,14,0,14,0.0,50
627,10030,38,1,37,0.0263,169
628,10052,29,0,29,0.0,103
629,10059,17,0,17,0.0,59
630,10075,7,0,7,0.0,16
631,10083,17,0,17,0.0,69
632,10105,4,0,4,0.0,6
633,10108,4,0,4,0.0,6
634,10117,13,0,13,0.0,39
635,10144,11,0,11,0.0,36
636,10145,6,0,6,0.0,11
637,10184,13,1,12,0.0769,44
638,10191,14,0,14,0.0,57
639,10209,9,0,9,0.0,33
640,10223,4,0,4,0.0,6
641,10244,5,0,5,0.0,10
642,10263,19,0,19,0.0,76
643,10266,17,1,16,0.0588,65
644,10272,15,0,15,0.0,48
645,10291,7,0,7,0.0,16
646,10295,6,0,6,0.0,13
647,10300,21,0,21,0.0,61
648,10302,8,0,8,0.0,23
649,10315,5,0,5,0.0,10
650,10317,11,0,11,0.0,27
651,10326,9,0,9,0.0,29
652,10333,13,0,13,0.0,39
653,10334,6,0,6,0.0,14
654,10342,25,1,24,0.04,88
655,10364,21,0,21,0.0,85
656,10370,22,0,22,0.0,85
657,10386,22,15,7,0.6818,122
658,10389,12,0,12,0.0,30
659,10393,20,0,20,0.0,103
660,10400,6,0,6,0.0,12
661,10437,15,1,14,0.0667,47
662,10468,6,0,6,0.0,14
663,10491,6,0,6,0.0,15
664,10514,32,0,32,0.0,137
665,10515,23,5,18,0.2174,92
666,10520,26,0,26,0.0,94
667,10523,10,0,10,0.0,36
668,10537,7,0,7,0.0,12
669,10539,14,0,14,0.0,45
670,10543,36,0,36,0.0,133
671,10573,10,0,10,0.0,27
672,10592,22,0,22,0.0,77
673,10636,15,1,14,0.0667,66
674,10653,18,0,18,0.0,57
675,10718,23,0,23,0.0,98
676,10744,28,0,28,0.0,123
677,10765,10,1,9,0.1,24
678,10771,25,1,24,0.04,101
679,10807,6,0,6,0.0,12
680,10812,5,1,4,0.2,9
681,10824,9,2,7,0.2222,23
682,10844,9,0,9,0.0,25
683,10854,19,0,19,0.0,65
684,10893,12,0,12,0.0,43
685,10910,15,0,15,0.0,65
686,10920,31,0,31,0.0,170
687,10928,8,0,8,0.0,16
688,10938,32,0,32,0.0,124
689,10954,18,0,18,0.0,62
690,10967,17,0,17,0.0,60
691,10968,5,0,5,0.0,8
692,10973,17,0,17,0.0,57
693,10980,36,1,35,0.0278,169
694,10988,7,0,7,0.0,13
695,11004,10,0,10,0.0,30
696,11007,11,0,11,0.0,27
697,11029,5,0,5,0.0,9
698,11062,5,0,5,0.0,10
699,11078,29,0,29,0.0,136
700,11099,26,2,24,0.0769,98
701,11105,16,2,14,0.125,49
702,11119,54,0,54,0.0,242
703,11130,29,2,27,0.069,107
704,11140,5,0,5,0.0,10
705,11146,12,5,7,0.4167,38
706,11155,15,0,15,0.0,56
707,11172,33,0,33,0.0,161
708,11185,13,0,13,0.0,53
709,11195,25,0,25,0.0,86
710,11223,6,0,6,0.0,11
711,11230,7,0,7,0.0,17
712,11246,4,0,4,0.0,6
713,11280,23,0,23,0.0,80
714,11285,31,0,31,0.0,141
715,11292,13,5,8,0.3846,32
716,11316,29,0,29,0.0,104
717,11325,8,0,8,0.0,26
718,11331,5,0,5,0.0,10
719,11338,9,1,8,0.1111,24
720,11341,5,0,5,0.0,10
721,11401,12,0,12,0.0,41
722,11405,13,1,12,0.0769,43
723,11411,25,0,25,0.0,115
724,11419,34,0,34,0.0,142
725,11426,6,0,6,0.0,12
726,11442,10,0,10,0.0,30
727,11443,10,0,10,0.0,33
728,11459,30,1,29,0.0333,116
729,11481,50,3,47,0.06,205
730,11482,44,1,43,0.0227,229
731,11509,32,0,32,0.0,150
732,11514,4,0,4,0.0,6
733,11515,7,0,7,0.0,15
734,11526,10,0,10,0.0,34
735,11593,20,0,20,0.0,79
736,11617,17,0,17,0.0,55
737,11681,19,0,19,0.0,68
738,11705,33,0,33,0.0,143
739,11709,15,0,15,0.0,49
740,11721,4,0,4,0.0,6
741,11724,6,0,6,0.0,11
742,11726,13,0,13,0.0,39
743,11727,21,0,21,0.0,86
744,11741,5,0,5,0.0,10
745,11744,25,0,25,0.0,81
746,11749,10,0,10,0.0,21
747,11762,21,1,20,0.0476,62
748,11768,10,0,10,0.0,31
749,11771,30,1,29,0.0333,104
750,11788,8,0,8,0.0,20
751,11805,6,0,6,0.0,14
752,11849,5,0,5,0.0,9
753,11851,6,1,5,0.1667,12
754,11858,17,9,8,0.5294,88
755,11868,13,1,12,0.0769,51
756,11884,22,0,22,0.0,94
757,11891,15,0,15,0.0,47
758,11896,23,0,23,0.0,88
759,11909,13,0,13,0.0,46
760,11925,19,0,19,0.0,64
761,11975,16,9,7,0.5625,75
762,11997,37,1,36,0.027,196
763,12034,19,0,19,0.0,64
764,12042,34,0,34,0.0,135
765,12052,22,0,22,0.0,74
766,12060,50,0,50,0.0,230
767,12067,30,0,30,0.0,113
768,12077,34,1,33,0.0294,158
769,12103,9,0,9,0.0,22
770,12138,17,0,17,0.0,48
771,12139,13,0,13,0.0,42
772,12150,13,0,13,0.0,39
773,12162,4,0,4,0.0,6
774,12163,7,0,7,0.0,18
775,12268,25,0,25,0.0,79
776,12270,69,3,66,0.0435,301
777,12287,6,0,6,0.0,14
778,12318,13,0,13,0.0,32
779,12328,40,0,40,0.0,207
780,12358,18,3,15,0.1667,59
781,12374,21,0,21,0.0,74
782,12400,4,0,4,0.0,6
783,12410,9,0,9,0.0,27
784,12413,7,0,7,0.0,18
785,12427,30,1,29,0.0333,120
786,12441,28,0,28,0.0,112
787,12479,54,0,54,0.0,216
788,12498,5,0,5,0.0,10
789,12519,12,0,12,0.0,41
790,12575,5,0,5,0.0,9
791,12609,10,0,10,0.0,22
792,12655,19,15,4,0.7895,84
793,12659,7,0,7,0.0,19
794,12666,16,0,16,0.0,61
795,12668,12,1,11,0.0833,31
796,12670,15,0,15,0.0,47
797,12690,7,1,6,0.1429,17
798,12691,7,0,7,0.0,16
799,12694,15,0,15,0.0,53
800,12696,7,0,7,0.0,18
801,12704,14,0,14,0.0,50
802,12705,6,0,6,0.0,11
803,12724,9,1,8,0.1111,26
804,12729,6,0,6,0.0,15
805,12756,12,0,12,0.0,41
806,12766,25,0,25,0.0,86
807,12772,16,0,16,0.0,55
808,12776,11,0,11,0.0,27
809,12780,32,0,32,0.0,145
810,12789,6,0,6,0.0,12
811,12806,10,0,10,0.0,25
812,12807,16,0,16,0.0,59
813,12823,4,0,4,0.0,6
