community,n_total,n_hiv,n_brnpdb,n_hiv_active,hiv_enrich,x_rate,top_enriched_fg,top_depleted_fg,brnpdb_compounds,mean_mw,mean_logp,mean_tpsa,mean_hbd,mean_hba,mean_rotbonds,mean_n_rings,mean_n_arom_rings,mean_n_heavy,std_mw,std_logp,std_tpsa,std_hbd,std_hba,std_rotbonds,std_n_rings,std_n_arom_rings,std_n_heavy,d_mw,d_logp,d_tpsa,d_hbd,d_hba,d_rotbonds,d_n_rings,d_n_arom_rings,d_n_heavy,fg_aromatic_benzene,fg_phenol,fg_catechol,fg_carboxylic_acid,fg_ester,fg_amide,fg_primary_amine,fg_secondary_amine,fg_tertiary_amine,fg_hydroxyl,fg_ether,fg_ketone,fg_aldehyde,fg_sulfate_ester,fg_sulfonate,fg_phosphate,fg_nitro,fg_nitrile,fg_thiol,fg_thioether,fg_halide_F,fg_halide_Cl,fg_halide_Br,fg_alkene,fg_alkyne,fg_pyridine,fg_furan,fg_thiophene,fg_pyrrole,fg_imidazole,fg_indole,fg_pyranose_sugar,fg_furanose_sugar,fg_lactone,fg_epoxide,enr_aromatic_benzene,enr_phenol,enr_catechol,enr_carboxylic_acid,enr_ester,enr_amide,enr_primary_amine,enr_secondary_amine,enr_tertiary_amine,enr_hydroxyl,enr_ether,enr_ketone,enr_aldehyde,enr_sulfate_ester,enr_sulfonate,enr_phosphate,enr_nitro,enr_nitrile,enr_thiol,enr_thioether,enr_halide_F,enr_halide_Cl,enr_halide_Br,enr_alkene,enr_alkyne,enr_pyridine,enr_furan,enr_thiophene,enr_pyrrole,enr_imidazole,enr_indole,enr_pyranose_sugar,enr_furanose_sugar,enr_lactone,enr_epoxide,chemical_family
4,2289,2281,8,43,0.0189,0.54,,,"β-D-Glucopyranoside, 2-(3,4- [7267] | 4H-1-Benzopyran-4-one, 3-(β- [5243] | 4H-1-Benzopyran-4-one, 3-[(6 [7187] | β-D-Glucopyranoside, 4-[[[(2 [9109] | 4H-1-Benzopyran-4-one, 2-(3, [7515]",371.395,2.973,83.11,1.518,4.954,4.825,3.074,2.032,25.589,182.67,2.748,73.336,2.131,3.652,5.234,1.796,1.448,12.398,1.66,-0.008,0.405,-0.019,0.028,0.148,0.007,0.024,0.102,0.7457,0.2398,0.0668,0.0821,0.2018,0.3019,0.0826,0.2945,0.2289,0.1354,0.4351,0.1651,0.007,0.0052,0.0205,0.0066,0.0,0.0734,0.0109,0.0869,0.0472,0.1669,0.0398,0.2626,0.0096,0.1083,0.0166,0.0192,0.031,0.0577,0.0271,0.007,0.0013,0.1752,0.0052,1.011,1.018,0.975,1.107,0.996,0.995,0.854,1.016,1.065,1.033,1.014,0.989,0.978,1.378,0.912,1.288,0.0,1.044,0.995,0.96,0.917,1.002,1.076,1.051,1.198,1.002,0.905,0.882,1.065,1.089,1.163,0.859,0.762,0.989,0.829,Drug-like / diverse (low chemical differentiation)
13,1325,1316,9,25,0.019,0.54,"aldehyde(1.8x,1%); pyranose_sugar(1.4x,1%)",,D-Ribose [9464] | Arabinose [6231] | L-Arabinose [8910] | D-Arabinose [8304] | D-Xylose [9971],366.492,2.9,82.916,1.555,4.923,4.568,3.063,2.018,25.346,170.056,2.449,62.463,2.122,3.117,4.683,1.78,1.485,11.766,-3.243,-0.081,0.211,0.018,-0.004,-0.109,-0.004,0.01,-0.14,0.7479,0.2325,0.0521,0.0815,0.206,0.2996,0.1117,0.2875,0.2294,0.1434,0.4279,0.1917,0.0128,0.003,0.0166,0.0023,0.0,0.0687,0.0121,0.0792,0.0483,0.166,0.0423,0.2415,0.0083,0.1185,0.0204,0.0158,0.0355,0.0498,0.0257,0.0113,0.0008,0.1774,0.006,1.014,0.987,0.76,1.099,1.016,0.988,1.155,0.992,1.067,1.094,0.997,1.149,1.795,0.794,0.738,0.445,0.0,0.977,1.1,0.875,0.939,0.997,1.144,0.966,1.035,1.096,1.111,0.727,1.218,0.941,1.102,1.391,0.439,1.001,0.955,Drug-like / diverse (low chemical differentiation)
19,866,866,0,16,0.0185,0.53,"aldehyde(1.6x,1%)",,,369.096,2.988,83.402,1.548,4.871,4.845,3.022,2.058,25.424,164.599,2.61,65.932,2.081,3.031,5.16,1.735,1.468,11.521,-0.639,0.007,0.697,0.011,-0.056,0.168,-0.045,0.05,-0.063,0.724,0.2206,0.0704,0.0831,0.1894,0.2887,0.1155,0.2887,0.2171,0.1028,0.4134,0.1663,0.0115,0.0035,0.0219,0.0081,0.0,0.0624,0.0092,0.1109,0.0543,0.1778,0.0289,0.224,0.0069,0.1097,0.0173,0.0242,0.0346,0.0554,0.0254,0.0046,0.0012,0.1721,0.0092,0.982,0.936,1.028,1.121,0.934,0.952,1.194,0.996,1.01,0.784,0.963,0.996,1.616,0.911,0.975,1.589,0.0,0.887,0.842,1.224,1.055,1.068,0.781,0.896,0.864,1.015,0.944,1.112,1.19,1.047,1.091,0.567,0.671,0.971,1.461,Drug-like / diverse (low chemical differentiation)
12,297,290,7,5,0.0172,0.49,"pyrrole(2.1x,6%); indole(1.9x,4%); epoxide(1.6x,1%); imidazole(1.3x,7%)",,"L-Galactose, 6-deoxy- [7287] | L-Mannose, 6-deoxy- [7374] | D-Glucose [8971] | D-Galactose [9018] | D-Mannose [8123]",374.608,2.993,83.038,1.498,4.862,5.024,3.03,1.966,25.811,222.124,2.618,94.329,3.272,3.934,7.022,1.695,1.421,15.268,4.873,0.012,0.333,-0.039,-0.065,0.347,-0.037,-0.041,0.325,0.7508,0.266,0.064,0.0842,0.2121,0.2727,0.0808,0.2492,0.1818,0.1246,0.4444,0.1582,0.0,0.0034,0.0236,0.0,0.0,0.0875,0.0101,0.0808,0.0505,0.1919,0.0404,0.3098,0.0067,0.0943,0.0067,0.0067,0.0606,0.0707,0.0438,0.0067,0.0,0.202,0.0101,1.018,1.129,0.933,1.135,1.046,0.899,0.836,0.859,0.846,0.95,1.036,0.948,0.0,0.885,1.047,0.0,0.0,1.246,0.92,0.892,0.981,1.153,1.094,1.239,0.84,0.872,0.367,0.309,2.081,1.336,1.88,0.827,0.0,1.14,1.597,Indole / pyrrole alkaloids
20,2207,2206,1,33,0.015,0.43,,,"4H-1-Benzopyran-4-one, 6-β-D [6523]",369.172,2.844,84.376,1.596,4.918,4.534,3.082,2.008,25.432,168.757,2.495,62.432,2.092,3.13,4.412,1.805,1.448,11.739,-0.562,-0.137,1.672,0.059,-0.009,-0.143,0.014,0.0,-0.055,0.7408,0.2338,0.0702,0.0865,0.1889,0.3135,0.1033,0.3077,0.2247,0.1436,0.4232,0.1495,0.0082,0.0045,0.024,0.0032,0.0,0.0748,0.01,0.0802,0.0485,0.1767,0.0385,0.2324,0.0082,0.101,0.0163,0.0208,0.0272,0.0571,0.024,0.005,0.0014,0.1663,0.0063,1.005,0.992,1.025,1.167,0.932,1.034,1.068,1.061,1.046,1.096,0.986,0.896,1.141,1.191,1.067,0.623,0.0,1.064,0.908,0.886,0.942,1.061,1.042,0.93,1.017,0.935,0.889,0.956,0.934,1.078,1.031,0.612,0.79,0.939,1.003,Drug-like / diverse (low chemical differentiation)
8,1813,1812,1,23,0.0127,0.36,,,ω-fenil alcanoic acid [949],366.027,2.932,82.26,1.563,4.97,4.721,3.008,1.939,25.192,158.041,2.502,57.32,1.834,2.97,4.928,1.671,1.5,11.273,-3.708,-0.049,-0.445,0.026,0.043,0.044,-0.059,-0.069,-0.295,0.717,0.2471,0.0789,0.0739,0.1953,0.3012,0.1015,0.3006,0.203,0.1384,0.4479,0.1655,0.0066,0.005,0.0243,0.0066,0.0,0.0618,0.0105,0.1004,0.037,0.1484,0.0414,0.246,0.0061,0.107,0.021,0.021,0.0232,0.0414,0.0177,0.005,0.0033,0.1704,0.005,0.972,1.049,1.151,0.996,0.963,0.993,1.05,1.037,0.944,1.056,1.044,0.991,0.926,1.305,1.078,1.301,0.0,0.879,0.955,1.108,0.718,0.891,1.12,0.984,0.757,0.99,1.143,0.961,0.795,0.781,0.758,0.61,1.924,0.962,0.785,Drug-like / diverse (low chemical differentiation)
15,2878,2876,2,35,0.0122,0.35,"alkyne(1.4x,1%); thiophene(1.3x,3%)",,(E)-3-(4-Hydroxyphenyl)acryl [3895] | Benzyl benzoate [1828],367.088,3.057,80.142,1.446,4.86,4.687,2.985,1.964,25.151,167.817,2.54,56.462,1.849,2.979,4.826,1.709,1.425,11.762,-2.647,0.076,-2.563,-0.091,-0.066,0.01,-0.082,-0.043,-0.336,0.7192,0.2272,0.0605,0.0712,0.206,0.2887,0.0956,0.2755,0.2012,0.123,0.4343,0.156,0.0042,0.0024,0.0261,0.0063,0.0,0.0671,0.0122,0.0931,0.0473,0.1703,0.0354,0.2589,0.0111,0.1161,0.0181,0.0292,0.0285,0.0573,0.0254,0.0087,0.0021,0.1814,0.0045,0.975,0.965,0.882,0.96,1.016,0.952,0.988,0.95,0.936,0.938,1.012,0.935,0.583,0.639,1.158,1.229,0.0,0.954,1.108,1.028,0.918,1.022,0.959,1.036,1.386,1.074,0.985,1.339,0.978,1.083,1.089,1.067,1.212,1.024,0.714,Drug-like / diverse (low chemical differentiation)
21,1740,1739,1,20,0.0115,0.33,"thiophene(1.3x,3%)",,"4H-1-Benzopyran-4-one, 2,3-d [5919]",374.164,2.985,84.817,1.559,5.039,4.722,3.132,2.055,25.839,191.518,2.587,68.832,2.246,3.235,5.553,2.029,1.484,13.269,4.429,0.004,2.112,0.022,0.112,0.045,0.064,0.047,0.352,0.7443,0.2374,0.0747,0.073,0.2103,0.3092,0.0902,0.2937,0.2207,0.1299,0.4282,0.1649,0.0063,0.004,0.0276,0.008,0.0,0.0667,0.008,0.0948,0.0523,0.1552,0.0322,0.2661,0.0057,0.0994,0.0172,0.0293,0.0299,0.0534,0.0224,0.0103,0.0017,0.1839,0.0086,1.009,1.007,1.09,0.984,1.038,1.019,0.933,1.013,1.027,0.991,0.998,0.988,0.885,1.058,1.226,1.581,0.0,0.949,0.733,1.047,1.016,0.932,0.871,1.065,0.717,0.92,0.94,1.344,1.026,1.01,0.963,1.271,1.002,1.038,1.363,Drug-like / diverse (low chemical differentiation)
0,1639,1639,0,18,0.011,0.31,,,,363.118,2.98,81.342,1.546,4.84,4.616,2.975,1.984,25.007,152.196,2.41,54.902,1.789,2.683,4.42,1.646,1.413,10.538,-6.617,-0.001,-1.363,0.009,-0.087,-0.061,-0.092,-0.024,-0.48,0.7334,0.2373,0.0696,0.0732,0.2129,0.3032,0.097,0.3142,0.2062,0.1287,0.4246,0.1635,0.0055,0.0024,0.022,0.0031,0.0,0.0757,0.0116,0.0818,0.0622,0.1586,0.0372,0.2453,0.0037,0.1208,0.0207,0.0189,0.025,0.0494,0.0207,0.0049,0.0024,0.1788,0.0049,0.995,1.007,1.015,0.987,1.05,1.0,1.003,1.084,0.959,0.982,0.99,0.98,0.768,0.642,0.976,0.6,0.0,1.076,1.056,0.903,1.209,0.953,1.007,0.981,0.456,1.117,1.131,0.867,0.859,0.934,0.891,0.6,1.419,1.009,0.772,Drug-like / diverse (low chemical differentiation)
26,1428,1428,0,15,0.0105,0.3,"thiol(1.6x,2%)",,,379.139,3.04,84.326,1.582,5.002,4.753,3.13,2.054,26.102,182.832,2.53,67.709,2.296,3.107,5.493,1.683,1.465,12.865,9.405,0.059,1.622,0.045,0.075,0.076,0.062,0.046,0.616,0.7647,0.2514,0.077,0.0693,0.1975,0.3123,0.0854,0.299,0.2164,0.1169,0.4244,0.1863,0.0056,0.0035,0.0175,0.0007,0.0,0.0609,0.0175,0.0826,0.0609,0.1681,0.0399,0.2731,0.0077,0.1064,0.0189,0.0217,0.0287,0.0511,0.0238,0.0105,0.0014,0.1688,0.0021,1.037,1.067,1.124,0.934,0.974,1.03,0.884,1.031,1.007,0.892,0.989,1.116,0.784,0.92,0.778,0.138,0.0,0.867,1.595,0.912,1.184,1.009,1.08,1.093,0.961,0.985,1.031,0.996,0.986,0.966,1.023,1.29,0.814,0.953,0.332,Drug-like / diverse (low chemical differentiation)
18,1268,1268,0,13,0.0103,0.29,"indole(1.4x,3%)",,,376.639,3.021,85.599,1.67,5.018,4.73,3.093,2.087,25.917,176.403,2.613,71.415,2.483,3.373,5.063,1.716,1.514,12.236,6.904,0.04,2.895,0.132,0.092,0.053,0.026,0.079,0.43,0.7737,0.2303,0.0576,0.0789,0.2027,0.3107,0.0986,0.3021,0.2169,0.127,0.4014,0.1719,0.0063,0.0055,0.0252,0.0032,0.0,0.071,0.0134,0.1033,0.0591,0.1696,0.0426,0.25,0.0063,0.1049,0.0189,0.0181,0.0379,0.0591,0.0323,0.0055,0.0024,0.1672,0.0047,1.049,0.977,0.84,1.063,1.0,1.024,1.019,1.042,1.009,0.969,0.936,1.03,0.883,1.451,1.121,0.62,0.0,1.01,1.222,1.141,1.149,1.018,1.153,1.0,0.787,0.97,1.032,0.832,1.3,1.117,1.389,0.678,1.375,0.944,0.748,Drug-like / diverse (low chemical differentiation)
1,1300,1291,9,12,0.0093,0.26,"aldehyde(1.7x,1%); thiophene(1.6x,3%); pyranose_sugar(1.4x,1%)",,"α-Terpinolene [1752] | 1,5-Cyclodecadiene, 1,5-dime [9705] | 1,5-Cyclodecadiene, 1,5-dime [6561] | Bicyclo[8.1.0]undeca-2,6-die [10226] | 1,5-Cyclodecadiene, 1,5-dime [5788]",371.196,3.052,81.978,1.539,4.915,4.532,3.144,2.018,25.722,159.903,2.545,55.019,1.879,2.775,4.168,1.796,1.42,11.278,1.461,0.071,-0.727,0.002,-0.012,-0.145,0.077,0.01,0.235,0.7508,0.2508,0.0646,0.0746,0.2231,0.3092,0.1069,0.2823,0.2208,0.15,0.4415,0.1977,0.0123,0.0031,0.0208,0.0031,0.0,0.0554,0.0062,0.0908,0.0569,0.1615,0.0362,0.2685,0.0092,0.0885,0.0192,0.0346,0.0223,0.0462,0.0154,0.0115,0.0015,0.2023,0.0077,1.018,1.064,0.943,1.006,1.1,1.02,1.106,0.974,1.027,1.144,1.029,1.184,1.722,0.809,0.923,0.605,0.0,0.788,0.561,1.002,1.106,0.97,0.979,1.074,1.151,0.818,1.049,1.587,0.766,0.872,0.661,1.417,0.894,1.142,1.216,Drug-like / diverse (low chemical differentiation)
22,2229,2227,2,20,0.009,0.26,,,"4H-1-Benzopyran-4-one, 5,6,7 [5613] | Ferulic acid [3470]",369.179,2.913,83.277,1.508,4.956,4.609,3.077,1.988,25.516,170.144,2.536,62.46,2.044,3.062,4.806,1.69,1.44,11.809,-0.556,-0.068,0.572,-0.029,0.029,-0.068,0.009,-0.02,0.029,0.7389,0.227,0.0691,0.0718,0.2243,0.3096,0.1081,0.2844,0.2055,0.1346,0.4491,0.1525,0.0054,0.0027,0.0175,0.0036,0.0,0.0682,0.0117,0.0843,0.0561,0.1561,0.0305,0.2301,0.0063,0.1171,0.0126,0.0166,0.035,0.0471,0.0274,0.0067,0.0036,0.1947,0.0094,1.002,0.964,1.008,0.968,1.107,1.021,1.118,0.981,0.956,1.027,1.047,0.914,0.753,0.708,0.777,0.705,0.0,0.97,1.063,0.931,1.09,0.938,0.826,0.921,0.783,1.083,0.685,0.761,1.202,0.89,1.175,0.827,2.086,1.099,1.49,Enriched in furanose_sugar (x2.1)
